,EOSEW
2020-11-19,3.3499999046325684
2020-11-20,4.0
2020-11-23,4.21999979019165
2020-11-24,3.569999933242798
2020-11-25,4.300000190734863
2020-11-27,4.25
2020-11-30,4.050000190734863
2020-12-01,3.8299999237060547
2020-12-02,3.619999885559082
2020-12-03,3.8299999237060547
2020-12-04,3.759999990463257
2020-12-07,3.9600000381469727
2020-12-08,3.609999895095825
2020-12-09,3.7200000286102295
2020-12-10,3.930000066757202
2020-12-11,3.5199999809265137
2020-12-14,3.559999942779541
2020-12-15,3.5999999046325684
2020-12-16,3.630000114440918
2020-12-17,3.5299999713897705
2020-12-18,3.565000057220459
2020-12-21,3.6700000762939453
2020-12-22,4.324999809265137
2020-12-23,7.949999809265137
2020-12-24,6.684999942779541
2020-12-28,7.510000228881836
2020-12-29,8.199999809265137
2020-12-30,8.619999885559082
2020-12-31,8.3100004196167
2021-01-04,9.470000267028809
2021-01-05,8.949999809265137
2021-01-06,9.600000381469727
2021-01-07,11.100000381469727
2021-01-08,12.989999771118164
2021-01-11,14.050000190734863
2021-01-12,13.850000381469727
2021-01-13,13.430000305175781
2021-01-14,10.979999542236328
2021-01-15,9.859999656677246
2021-01-19,11.369999885559082
2021-01-20,11.539999961853027
2021-01-21,10.699999809265137
2021-01-22,10.210000038146973
2021-01-25,9.319999694824219
2021-01-26,10.3100004196167
2021-01-27,10.239999771118164
2021-01-28,10.420000076293945
2021-01-29,9.619999885559082
2021-02-01,10.420000076293945
2021-02-02,10.75
2021-02-03,10.90999984741211
2021-02-04,11.335000038146973
2021-02-05,11.260000228881836
2021-02-08,10.760000228881836
2021-02-09,11.050000190734863
2021-02-10,11.470000267028809
2021-02-11,12.5
2021-02-12,12.09000015258789
2021-02-16,11.300000190734863
2021-02-17,11.770000457763672
2021-02-18,10.949999809265137
2021-02-19,11.0
2021-02-22,10.75
2021-02-23,9.479999542236328
2021-02-24,9.100000381469727
2021-02-25,7.139999866485596
2021-02-26,8.34000015258789
2021-03-01,9.100000381469727
2021-03-02,9.449999809265137
2021-03-03,7.980000019073486
2021-03-04,6.480000019073486
2021-03-05,6.010000228881836
2021-03-08,5.480000019073486
2021-03-09,5.599999904632568
2021-03-10,6.46999979019165
2021-03-11,7.260000228881836
2021-03-12,7.400000095367432
2021-03-15,8.300000190734863
2021-03-16,8.59000015258789
2021-03-17,9.140000343322754
2021-03-18,8.039999961853027
2021-03-19,9.529999732971191
2021-03-22,9.0
2021-03-23,8.529999732971191
2021-03-24,8.59000015258789
2021-03-25,7.840000152587891
2021-03-26,7.789999961853027
2021-03-29,7.989999771118164
2021-03-30,8.0
2021-03-31,9.0
2021-04-01,7.960000038146973
2021-04-05,8.5
2021-04-06,7.708000183105469
2021-04-07,7.380000114440918
2021-04-08,7.21999979019165
2021-04-09,7.460000038146973
2021-04-12,6.800000190734863
2021-04-13,6.199999809265137
2021-04-14,6.340000152587891
2021-04-15,6.019999980926514
2021-04-16,5.800000190734863
2021-04-19,5.190000057220459
2021-04-20,4.300000190734863
2021-04-21,4.829999923706055
2021-04-22,4.849999904632568
2021-04-23,4.949999809265137
2021-04-26,5.579999923706055
2021-04-27,5.400000095367432
2021-04-28,5.380000114440918
2021-04-29,5.550000190734863
2021-04-30,4.960000038146973
2021-05-03,5.26800012588501
2021-05-04,4.699999809265137
2021-05-05,4.400000095367432
2021-05-06,4.199999809265137
2021-05-07,3.859999895095825
2021-05-10,4.0
2021-05-11,4.2170000076293945
2021-05-12,3.640000104904175
2021-05-13,3.630000114440918
2021-05-14,4.25
