,EQ
2018-10-12,14.0
2018-10-15,14.0
2018-10-16,14.0
2018-10-17,14.0
2018-10-18,13.920000076293945
2018-10-19,14.0
2018-10-22,14.3100004196167
2018-10-23,13.850000381469727
2018-10-24,13.989999771118164
2018-10-25,14.970000267028809
2018-10-26,14.850000381469727
2018-10-29,14.470000267028809
2018-10-30,14.319999694824219
2018-10-31,14.0
2018-11-01,14.979999542236328
2018-11-02,15.039999961853027
2018-11-05,16.34000015258789
2018-11-06,16.979999542236328
2018-11-07,17.100000381469727
2018-11-08,16.989999771118164
2018-11-09,16.5
2018-11-12,15.600000381469727
2018-11-13,15.550000190734863
2018-11-14,15.890000343322754
2018-11-15,15.850000381469727
2018-11-16,16.899999618530273
2018-11-19,14.880000114440918
2018-11-20,14.5
2018-11-21,14.600000381469727
2018-11-23,19.440000534057617
2018-11-26,16.670000076293945
2018-11-27,16.469999313354492
2018-11-28,15.579999923706055
2018-11-29,14.899999618530273
2018-11-30,16.399999618530273
2018-12-03,16.200000762939453
2018-12-04,15.899999618530273
2018-12-06,14.40999984741211
2018-12-07,15.279999732971191
2018-12-10,14.079999923706055
2018-12-11,14.390000343322754
2018-12-12,13.300000190734863
2018-12-13,12.369999885559082
2018-12-14,12.0
2018-12-17,10.75
2018-12-18,11.039999961853027
2018-12-19,9.890000343322754
2018-12-20,6.320000171661377
2018-12-21,7.75
2018-12-24,9.0
2018-12-26,8.460000038146973
2018-12-27,7.619999885559082
2018-12-28,7.809999942779541
2018-12-31,8.15999984741211
2019-01-02,7.429999828338623
2019-01-03,7.059999942779541
2019-01-04,8.069999694824219
2019-01-07,10.119999885559082
2019-01-08,10.899999618530273
2019-01-09,10.479999542236328
2019-01-10,10.479999542236328
2019-01-11,10.569999694824219
2019-01-14,10.1899995803833
2019-01-15,10.569999694824219
2019-01-16,10.569999694824219
2019-01-17,11.279999732971191
2019-01-18,12.020000457763672
2019-01-22,11.529999732971191
2019-01-23,10.609999656677246
2019-01-24,10.90999984741211
2019-01-25,9.869999885559082
2019-01-28,8.819999694824219
2019-01-29,8.65999984741211
2019-01-30,8.25
2019-01-31,8.789999961853027
2019-02-01,8.680000305175781
2019-02-04,8.619999885559082
2019-02-05,8.800000190734863
2019-02-06,8.5
2019-02-07,8.25
2019-02-08,7.690000057220459
2019-02-11,7.099999904632568
2019-02-12,7.190000057220459
2019-02-13,7.159999847412109
2019-02-14,6.53000020980835
2019-02-15,6.510000228881836
2019-02-19,6.900000095367432
2019-02-20,6.039999961853027
2019-02-21,5.840000152587891
2019-02-22,6.0
2019-02-25,6.610000133514404
2019-02-26,7.380000114440918
2019-02-27,7.619999885559082
2019-02-28,7.869999885559082
2019-03-01,7.550000190734863
2019-03-04,7.53000020980835
2019-03-05,7.480000019073486
2019-03-06,7.369999885559082
2019-03-07,7.460000038146973
2019-03-08,7.449999809265137
2019-03-11,7.619999885559082
2019-03-12,7.730000019073486
2019-03-13,7.78000020980835
2019-03-14,7.150000095367432
2019-03-15,7.369999885559082
2019-03-18,7.0
2019-03-19,7.349999904632568
2019-03-20,7.309999942779541
2019-03-21,6.909999847412109
2019-03-22,6.809999942779541
