,ESLT
1996-11-27,6.25
1996-11-29,7.75
1996-12-02,7.0
1996-12-03,7.375
1996-12-04,7.375
1996-12-05,7.125
1996-12-06,7.125
1996-12-09,7.75
1996-12-10,7.875
1996-12-11,7.75
1996-12-12,7.625
1996-12-13,7.5
1996-12-16,7.625
1996-12-17,7.625
1996-12-18,7.375
1996-12-19,7.5
1996-12-20,7.75
1996-12-23,7.875
1996-12-24,7.5
1996-12-26,7.625
1996-12-27,7.59375
1996-12-30,7.75
1996-12-31,7.625
1997-01-02,7.6875
1997-01-03,7.75
1997-01-06,8.5
1997-01-07,8.5
1997-01-08,8.875
1997-01-09,8.75
1997-01-10,9.0
1997-01-13,9.25
1997-01-14,9.375
1997-01-15,9.25
1997-01-16,9.125
1997-01-17,9.125
1997-01-20,9.0
1997-01-21,9.125
1997-01-22,9.125
1997-01-23,8.875
1997-01-24,8.75
1997-01-27,8.625
1997-01-28,8.625
1997-01-29,8.75
1997-01-30,8.75
1997-01-31,9.0
1997-02-03,9.125
1997-02-04,9.0
1997-02-05,8.875
1997-02-06,9.0
1997-02-07,8.75
1997-02-10,8.75
1997-02-11,8.75
1997-02-12,8.25
1997-02-13,8.375
1997-02-14,8.375
1997-02-18,8.8125
1997-02-19,8.625
1997-02-20,8.5
1997-02-21,8.625
1997-02-24,8.25
1997-02-25,8.0
1997-02-26,7.875
1997-02-27,7.8125
1997-02-28,7.75
1997-03-03,7.625
1997-03-04,8.25
1997-03-05,8.375
1997-03-06,8.375
1997-03-07,8.375
1997-03-10,8.375
1997-03-11,8.125
1997-03-12,8.0
1997-03-13,7.75
1997-03-14,8.0
1997-03-17,8.0
1997-03-18,7.875
1997-03-19,8.0625
1997-03-20,8.125
1997-03-21,7.9375
1997-03-24,7.75
1997-03-25,7.75
1997-03-26,7.75
1997-03-27,7.8125
1997-03-31,7.9375
1997-04-01,7.9375
1997-04-02,7.9375
1997-04-03,8.125
1997-04-04,8.125
1997-04-07,8.375
1997-04-08,8.6875
1997-04-09,8.875
1997-04-10,8.875
1997-04-11,8.8125
1997-04-14,9.25
1997-04-15,9.125
1997-04-16,8.75
1997-04-17,8.5
