,ETAC
2020-09-18,9.800000190734863
2020-09-21,9.850000381469727
2020-09-22,9.800000190734863
2020-09-23,9.949999809265137
2020-09-24,9.789999961853027
2020-09-25,9.75
2020-09-28,9.859999656677246
2020-09-29,9.779999732971191
2020-09-30,9.78499984741211
2020-10-01,9.779999732971191
2020-10-02,9.75
2020-10-05,9.789999961853027
2020-10-06,9.75
2020-10-07,9.75
2020-10-08,9.75
2020-10-09,9.729999542236328
2020-10-12,9.760000228881836
2020-10-13,9.670000076293945
2020-10-14,9.729999542236328
2020-10-15,9.649999618530273
2020-10-16,9.739999771118164
2020-10-19,9.760000228881836
2020-10-20,9.732000350952148
2020-10-21,9.670000076293945
2020-10-22,9.680000305175781
2020-10-23,9.720000267028809
2020-10-26,9.670000076293945
2020-10-27,9.680000305175781
2020-10-28,9.649999618530273
2020-10-29,9.670000076293945
2020-10-30,9.630000114440918
2020-11-02,9.640000343322754
2020-11-03,9.649999618530273
2020-11-04,9.630000114440918
2020-11-05,9.649999618530273
2020-11-06,9.647000312805176
2020-11-09,9.682000160217285
2020-11-10,9.682000160217285
2020-11-11,9.710000038146973
2020-11-12,9.710000038146973
2020-11-13,9.670000076293945
2020-11-16,9.699999809265137
2020-11-17,9.710000038146973
2020-11-18,9.739999771118164
2020-11-19,9.720000267028809
2020-11-20,9.720000267028809
2020-11-23,9.720000267028809
2020-11-24,9.800000190734863
2020-11-25,9.819999694824219
2020-11-27,9.899999618530273
2020-11-30,9.899999618530273
2020-12-01,9.854000091552734
2020-12-02,9.90999984741211
2020-12-03,9.850000381469727
2020-12-04,9.880000114440918
2020-12-07,9.861000061035156
2020-12-08,9.869999885559082
2020-12-09,9.890000343322754
2020-12-10,9.859999656677246
2020-12-11,9.960000038146973
2020-12-14,10.039999961853027
2020-12-15,10.09000015258789
2020-12-16,10.140000343322754
2020-12-17,10.149999618530273
2020-12-18,10.140000343322754
2020-12-21,10.119999885559082
2020-12-22,10.140000343322754
2020-12-23,10.180000305175781
2020-12-24,10.149999618530273
2020-12-28,10.300000190734863
2020-12-29,10.210000038146973
2020-12-30,10.199999809265137
2020-12-31,10.229999542236328
2021-01-04,10.199999809265137
2021-01-05,10.229999542236328
2021-01-06,10.149999618530273
2021-01-07,10.319999694824219
2021-01-08,10.210000038146973
2021-01-11,10.25
2021-01-12,10.350000381469727
2021-01-13,10.380000114440918
2021-01-14,10.399999618530273
2021-01-15,10.350000381469727
2021-01-19,10.479999542236328
2021-01-20,10.470000267028809
2021-01-21,10.579999923706055
2021-01-22,10.84000015258789
2021-01-25,10.670000076293945
2021-01-26,10.539999961853027
2021-01-27,10.300000190734863
2021-01-28,10.399999618530273
2021-01-29,10.319999694824219
2021-02-01,10.390000343322754
2021-02-02,10.449999809265137
2021-02-03,10.65999984741211
2021-02-04,10.680000305175781
2021-02-05,10.520000457763672
2021-02-08,10.539999961853027
2021-02-09,10.529999732971191
2021-02-10,10.65999984741211
2021-02-11,10.579999923706055
2021-02-12,10.510000228881836
2021-02-16,10.460000038146973
2021-02-17,10.470000267028809
2021-02-18,10.520000457763672
2021-02-19,10.630000114440918
2021-02-22,10.630000114440918
2021-02-23,10.4399995803833
2021-02-24,10.369999885559082
2021-02-25,10.229999542236328
2021-02-26,10.15999984741211
2021-03-01,10.149999618530273
2021-03-02,10.039999961853027
2021-03-03,9.989999771118164
2021-03-04,9.899999618530273
2021-03-05,9.979999542236328
2021-03-08,9.989999771118164
2021-03-09,9.960000038146973
2021-03-10,9.920000076293945
2021-03-11,10.0
2021-03-12,9.949999809265137
2021-03-15,9.920000076293945
2021-03-16,9.930000305175781
2021-03-17,9.930000305175781
2021-03-18,9.920000076293945
2021-03-19,9.899999618530273
2021-03-22,9.829999923706055
2021-03-23,9.800000190734863
2021-03-24,9.6899995803833
2021-03-25,9.739999771118164
2021-03-26,9.760000228881836
2021-03-29,9.770000457763672
2021-03-30,9.800000190734863
2021-03-31,9.75
2021-04-01,9.8100004196167
2021-04-05,9.800000190734863
2021-04-06,9.8100004196167
2021-04-07,9.850000381469727
2021-04-08,9.899999618530273
2021-04-09,9.869999885559082
2021-04-12,9.920000076293945
2021-04-13,9.9399995803833
2021-04-14,9.899999618530273
2021-04-15,9.850000381469727
2021-04-16,9.819999694824219
2021-04-19,9.850000381469727
2021-04-20,9.8100004196167
2021-04-21,9.789999961853027
2021-04-22,9.800000190734863
2021-04-23,9.869999885559082
2021-04-26,9.84000015258789
2021-04-27,9.829999923706055
2021-04-28,9.770000457763672
2021-04-29,9.779999732971191
2021-04-30,9.779999732971191
2021-05-03,9.779999732971191
2021-05-04,9.760000228881836
2021-05-05,9.770000457763672
2021-05-06,9.760000228881836
2021-05-07,9.760000228881836
2021-05-10,9.760000228881836
2021-05-11,9.75
2021-05-12,9.739999771118164
2021-05-13,9.739999771118164
2021-05-14,9.75
