,EVER
2018-06-28,18.020000457763672
2018-06-29,18.1200008392334
2018-07-02,18.010000228881836
2018-07-03,18.690000534057617
2018-07-05,17.8799991607666
2018-07-06,17.700000762939453
2018-07-09,17.389999389648438
2018-07-10,17.149999618530273
2018-07-11,16.8700008392334
2018-07-12,16.65999984741211
2018-07-13,16.899999618530273
2018-07-16,16.700000762939453
2018-07-17,16.43000030517578
2018-07-18,17.950000762939453
2018-07-19,17.56999969482422
2018-07-20,17.8700008392334
2018-07-23,17.139999389648438
2018-07-24,17.219999313354492
2018-07-25,16.600000381469727
2018-07-26,15.90999984741211
2018-07-27,16.420000076293945
2018-07-30,15.510000228881836
2018-07-31,15.029999732971191
2018-08-01,14.75
2018-08-02,13.960000038146973
2018-08-03,14.350000381469727
2018-08-06,15.050000190734863
2018-08-07,15.039999961853027
2018-08-08,15.5600004196167
2018-08-09,14.850000381469727
2018-08-10,14.720000267028809
2018-08-13,14.59000015258789
2018-08-14,14.84000015258789
2018-08-15,14.359999656677246
2018-08-16,14.489999771118164
2018-08-17,14.229999542236328
2018-08-20,14.350000381469727
2018-08-21,14.229999542236328
2018-08-22,14.0
2018-08-23,13.649999618530273
2018-08-24,13.609999656677246
2018-08-27,13.609999656677246
2018-08-28,13.4399995803833
2018-08-29,13.390000343322754
2018-08-30,13.220000267028809
2018-08-31,13.25
2018-09-04,12.510000228881836
2018-09-05,12.550000190734863
2018-09-06,13.180000305175781
2018-09-07,13.699999809265137
2018-09-10,13.699999809265137
2018-09-11,13.510000228881836
2018-09-12,13.579999923706055
2018-09-13,14.170000076293945
2018-09-14,14.520000457763672
2018-09-17,14.699999809265137
2018-09-18,15.020000457763672
2018-09-19,15.25
2018-09-20,15.850000381469727
2018-09-21,15.100000381469727
2018-09-24,15.0
2018-09-25,14.1899995803833
2018-09-26,14.289999961853027
2018-09-27,14.3100004196167
2018-09-28,14.859999656677246
2018-10-01,15.460000038146973
2018-10-02,16.0
2018-10-03,16.850000381469727
2018-10-04,16.940000534057617
2018-10-05,15.020000457763672
2018-10-08,14.399999618530273
2018-10-09,14.380000114440918
2018-10-10,13.739999771118164
2018-10-11,13.210000038146973
2018-10-12,13.0
2018-10-15,13.220000267028809
2018-10-16,12.489999771118164
2018-10-17,12.529999732971191
2018-10-18,12.229999542236328
2018-10-19,12.140000343322754
2018-10-22,12.010000228881836
2018-10-23,12.0
2018-10-24,11.850000381469727
2018-10-25,11.800000190734863
2018-10-26,11.989999771118164
2018-10-29,12.520000457763672
2018-10-30,12.670000076293945
2018-10-31,12.869999885559082
2018-11-01,13.199999809265137
2018-11-02,12.149999618530273
2018-11-05,13.220000267028809
2018-11-06,12.869999885559082
2018-11-07,12.600000381469727
2018-11-08,12.109999656677246
2018-11-09,12.630000114440918
2018-11-12,11.90999984741211
2018-11-13,6.730000019073486
2018-11-14,6.150000095367432
2018-11-15,5.954999923706055
2018-11-16,5.510000228881836
2018-11-19,5.010000228881836
2018-11-20,5.010000228881836
2018-11-21,5.480000019073486
2018-11-23,6.0
2018-11-26,6.480000019073486
2018-11-27,5.599999904632568
2018-11-28,6.199999809265137
2018-11-29,6.150000095367432
2018-11-30,6.170000076293945
2018-12-03,6.059999942779541
2018-12-04,6.010000228881836
2018-12-06,6.289999961853027
2018-12-07,5.900000095367432
2018-12-10,6.050000190734863
2018-12-11,6.090000152587891
2018-12-12,5.989999771118164
2018-12-13,5.170000076293945
2018-12-14,4.96999979019165
2018-12-17,4.579999923706055
2018-12-18,4.820000171661377
2018-12-19,4.809999942779541
2018-12-20,4.789999961853027
2018-12-21,4.460000038146973
2018-12-24,4.28000020980835
2018-12-26,4.25
2018-12-27,4.210000038146973
2018-12-28,4.28000020980835
2018-12-31,4.179999828338623
2019-01-02,4.579999923706055
2019-01-03,4.409999847412109
2019-01-04,4.880000114440918
2019-01-07,5.300000190734863
2019-01-08,5.099999904632568
2019-01-09,5.260000228881836
2019-01-10,5.570000171661377
2019-01-11,5.679999828338623
2019-01-14,5.800000190734863
2019-01-15,5.699999809265137
2019-01-16,6.099999904632568
2019-01-17,5.760000228881836
2019-01-18,5.920000076293945
2019-01-22,5.820000171661377
2019-01-23,5.829999923706055
2019-01-24,5.610000133514404
2019-01-25,5.610000133514404
2019-01-28,5.610000133514404
2019-01-29,5.360000133514404
2019-01-30,5.454999923706055
2019-01-31,5.599999904632568
2019-02-01,5.510000228881836
2019-02-04,5.400000095367432
2019-02-05,5.519999980926514
2019-02-06,5.710000038146973
2019-02-07,5.699999809265137
2019-02-08,5.75
2019-02-11,5.449999809265137
2019-02-12,5.650000095367432
2019-02-13,5.610000133514404
2019-02-14,5.550000190734863
2019-02-15,5.559999942779541
2019-02-19,5.630000114440918
2019-02-20,5.480000019073486
2019-02-21,5.570000171661377
2019-02-22,5.920000076293945
2019-02-25,6.050000190734863
2019-02-26,7.059999942779541
2019-02-27,7.449999809265137
2019-02-28,7.639999866485596
2019-03-01,7.380000114440918
2019-03-04,7.679999828338623
2019-03-05,7.659999847412109
2019-03-06,7.460000038146973
2019-03-07,7.5
2019-03-08,7.46999979019165
2019-03-11,7.519999980926514
2019-03-12,7.230000019073486
2019-03-13,7.449999809265137
2019-03-14,7.489999771118164
2019-03-15,7.440000057220459
2019-03-18,7.579999923706055
2019-03-19,7.699999809265137
2019-03-20,7.829999923706055
2019-03-21,7.849999904632568
2019-03-22,7.880000114440918
2019-03-25,7.739999771118164
2019-03-26,7.519999980926514
2019-03-27,7.630000114440918
2019-03-28,7.550000190734863
2019-03-29,7.440000057220459
2019-04-01,7.829999923706055
2019-04-02,8.0
2019-04-03,8.449999809265137
2019-04-04,8.300000190734863
2019-04-05,8.3100004196167
2019-04-08,8.15999984741211
2019-04-09,7.989999771118164
2019-04-10,8.319999694824219
2019-04-11,8.25
2019-04-12,8.430000305175781
2019-04-15,8.449999809265137
2019-04-16,8.5
2019-04-17,8.600000381469727
2019-04-18,8.539999961853027
2019-04-22,8.5
2019-04-23,8.579999923706055
2019-04-24,8.729999542236328
2019-04-25,8.710000038146973
2019-04-26,8.869999885559082
2019-04-29,9.0
2019-04-30,8.989999771118164
2019-05-01,8.720000267028809
2019-05-02,8.930000305175781
2019-05-03,8.850000381469727
2019-05-06,9.220000267028809
2019-05-07,10.390000343322754
2019-05-08,10.609999656677246
2019-05-09,10.350000381469727
2019-05-10,10.699999809265137
2019-05-13,11.15999984741211
2019-05-14,11.0
2019-05-15,11.0
2019-05-16,11.470000267028809
2019-05-17,10.739999771118164
2019-05-20,11.050000190734863
2019-05-21,11.149999618530273
2019-05-22,11.380000114440918
2019-05-23,11.039999961853027
2019-05-24,10.979999542236328
2019-05-28,10.90999984741211
2019-05-29,10.970000267028809
2019-05-30,11.09000015258789
2019-05-31,11.34000015258789
2019-06-03,10.800000190734863
2019-06-04,11.270000457763672
2019-06-05,11.529999732971191
2019-06-06,11.479999542236328
2019-06-07,11.989999771118164
2019-06-10,12.550000190734863
2019-06-11,12.489999771118164
2019-06-12,12.720000267028809
2019-06-13,12.84000015258789
2019-06-14,12.399999618530273
2019-06-17,12.680000305175781
2019-06-18,12.359999656677246
2019-06-19,12.039999961853027
2019-06-20,12.289999961853027
2019-06-21,12.670000076293945
2019-06-24,12.399999618530273
2019-06-25,12.119999885559082
2019-06-26,12.619999885559082
2019-06-27,12.229999542236328
2019-06-28,13.0
2019-07-01,13.5
2019-07-02,13.6899995803833
2019-07-03,13.550000190734863
2019-07-05,13.479999542236328
2019-07-08,13.75
2019-07-09,13.65999984741211
2019-07-10,13.949999809265137
2019-07-11,14.050000190734863
2019-07-12,14.229999542236328
2019-07-15,13.670000076293945
2019-07-16,14.039999961853027
2019-07-17,14.4399995803833
2019-07-18,14.4399995803833
2019-07-19,14.470000267028809
2019-07-22,14.710000038146973
2019-07-23,14.6899995803833
2019-07-24,14.84000015258789
2019-07-25,14.65999984741211
2019-07-26,15.180000305175781
2019-07-29,14.930000305175781
2019-07-30,14.960000038146973
2019-07-31,14.869999885559082
2019-08-01,14.449999809265137
2019-08-02,14.0
2019-08-05,13.199999809265137
2019-08-06,19.700000762939453
2019-08-07,19.40999984741211
2019-08-08,19.90999984741211
2019-08-09,20.049999237060547
2019-08-12,19.81999969482422
2019-08-13,21.329999923706055
2019-08-14,20.100000381469727
2019-08-15,19.780000686645508
2019-08-16,21.290000915527344
2019-08-19,22.1200008392334
2019-08-20,24.149999618530273
2019-08-21,24.209999084472656
2019-08-22,22.860000610351562
2019-08-23,22.399999618530273
2019-08-26,22.799999237060547
2019-08-27,21.850000381469727
2019-08-28,22.399999618530273
2019-08-29,22.25
2019-08-30,22.389999389648438
2019-09-03,22.420000076293945
2019-09-04,22.420000076293945
2019-09-05,22.530000686645508
2019-09-06,22.15999984741211
2019-09-09,21.350000381469727
2019-09-10,20.0
2019-09-11,21.979999542236328
2019-09-12,22.399999618530273
2019-09-13,22.360000610351562
2019-09-16,24.729999542236328
2019-09-17,23.299999237060547
2019-09-18,22.770000457763672
2019-09-19,22.40999984741211
2019-09-20,22.399999618530273
2019-09-23,22.0
2019-09-24,21.520000457763672
2019-09-25,22.5
2019-09-26,22.40999984741211
2019-09-27,21.610000610351562
2019-09-30,21.34000015258789
2019-10-01,21.079999923706055
2019-10-02,19.5
2019-10-03,20.09000015258789
2019-10-04,19.84000015258789
2019-10-07,19.93000030517578
2019-10-08,19.479999542236328
2019-10-09,19.489999771118164
2019-10-10,18.899999618530273
2019-10-11,19.549999237060547
2019-10-14,19.100000381469727
2019-10-15,18.899999618530273
2019-10-16,18.5
2019-10-17,18.81999969482422
2019-10-18,17.850000381469727
2019-10-21,18.170000076293945
2019-10-22,17.600000381469727
2019-10-23,18.770000457763672
2019-10-24,19.290000915527344
2019-10-25,18.84000015258789
2019-10-28,19.270000457763672
2019-10-29,19.420000076293945
2019-10-30,20.510000228881836
2019-10-31,20.299999237060547
2019-11-01,21.75
2019-11-04,21.770000457763672
2019-11-05,27.920000076293945
2019-11-06,29.280000686645508
2019-11-07,29.770000457763672
2019-11-08,30.579999923706055
2019-11-11,31.030000686645508
2019-11-12,29.09000015258789
2019-11-13,29.049999237060547
2019-11-14,27.700000762939453
2019-11-15,28.350000381469727
2019-11-18,28.600000381469727
2019-11-19,29.729999542236328
2019-11-20,32.220001220703125
2019-11-21,31.280000686645508
2019-11-22,32.27000045776367
2019-11-25,33.459999084472656
2019-11-26,35.130001068115234
2019-11-27,34.810001373291016
2019-11-29,35.209999084472656
2019-12-02,37.349998474121094
2019-12-03,38.04999923706055
2019-12-04,37.15999984741211
2019-12-05,36.79999923706055
2019-12-06,37.709999084472656
2019-12-09,35.400001525878906
2019-12-10,36.0099983215332
2019-12-11,33.93000030517578
2019-12-12,34.83000183105469
2019-12-13,33.15999984741211
2019-12-16,34.150001525878906
2019-12-17,34.060001373291016
2019-12-18,33.790000915527344
2019-12-19,34.2599983215332
2019-12-20,34.720001220703125
2019-12-23,34.86000061035156
2019-12-24,35.54999923706055
2019-12-26,36.459999084472656
2019-12-27,34.7599983215332
2019-12-30,34.349998474121094
2019-12-31,34.349998474121094
2020-01-02,33.790000915527344
2020-01-03,34.439998626708984
2020-01-06,30.559999465942383
2020-01-07,31.219999313354492
2020-01-08,30.139999389648438
2020-01-09,30.299999237060547
2020-01-10,30.06999969482422
2020-01-13,30.6299991607666
2020-01-14,30.56999969482422
2020-01-15,30.950000762939453
2020-01-16,30.15999984741211
2020-01-17,32.099998474121094
2020-01-21,33.4900016784668
2020-01-22,37.220001220703125
2020-01-23,39.290000915527344
2020-01-24,38.41999816894531
2020-01-27,37.779998779296875
2020-01-28,37.459999084472656
2020-01-29,38.02000045776367
2020-01-30,36.849998474121094
2020-01-31,36.689998626708984
2020-02-03,38.18000030517578
2020-02-04,39.290000915527344
2020-02-05,39.08000183105469
2020-02-06,39.61000061035156
2020-02-07,41.15999984741211
2020-02-10,42.630001068115234
2020-02-11,41.0
2020-02-12,40.0099983215332
2020-02-13,40.31999969482422
2020-02-14,41.02000045776367
2020-02-18,42.70000076293945
2020-02-19,43.75
2020-02-20,45.16999816894531
2020-02-21,46.650001525878906
2020-02-24,45.7400016784668
2020-02-25,40.0099983215332
2020-02-26,39.16999816894531
2020-02-27,38.2400016784668
2020-02-28,40.619998931884766
2020-03-02,40.13999938964844
2020-03-03,38.189998626708984
2020-03-04,39.150001525878906
2020-03-05,37.970001220703125
2020-03-06,36.04999923706055
2020-03-09,33.060001373291016
2020-03-10,35.06999969482422
2020-03-11,32.97999954223633
2020-03-12,30.204999923706055
2020-03-13,34.15999984741211
2020-03-16,29.65999984741211
2020-03-17,32.9900016784668
2020-03-18,23.709999084472656
2020-03-19,27.469999313354492
2020-03-20,26.8799991607666
2020-03-23,28.31999969482422
2020-03-24,28.8700008392334
2020-03-25,29.010000228881836
2020-03-26,28.530000686645508
2020-03-27,25.309999465942383
2020-03-30,24.704999923706055
2020-03-31,26.25
2020-04-01,23.045000076293945
2020-04-02,24.079999923706055
2020-04-03,24.15999984741211
2020-04-06,27.68000030517578
2020-04-07,27.739999771118164
2020-04-08,30.670000076293945
2020-04-09,35.709999084472656
2020-04-13,31.260000228881836
2020-04-14,34.810001373291016
2020-04-15,33.40999984741211
2020-04-16,34.9900016784668
2020-04-17,32.52000045776367
2020-04-20,34.66999816894531
2020-04-21,36.2599983215332
2020-04-22,38.04999923706055
2020-04-23,40.18000030517578
2020-04-24,38.869998931884766
2020-04-27,36.47999954223633
2020-04-28,39.130001068115234
2020-04-29,40.2400016784668
2020-04-30,38.970001220703125
2020-05-01,38.04999923706055
2020-05-04,39.88999938964844
2020-05-05,48.47999954223633
2020-05-06,49.560001373291016
2020-05-07,51.56999969482422
2020-05-08,50.380001068115234
2020-05-11,49.720001220703125
2020-05-12,48.619998931884766
2020-05-13,48.599998474121094
2020-05-14,49.5099983215332
2020-05-15,49.0
2020-05-18,47.20000076293945
2020-05-19,47.400001525878906
2020-05-20,47.900001525878906
2020-05-21,49.13999938964844
2020-05-22,49.0
2020-05-26,46.630001068115234
2020-05-27,52.119998931884766
2020-05-28,52.29999923706055
2020-05-29,53.91999816894531
2020-06-01,56.70000076293945
2020-06-02,58.79999923706055
2020-06-03,58.20000076293945
2020-06-04,57.689998626708984
2020-06-05,57.0
2020-06-08,57.66999816894531
2020-06-09,58.56999969482422
2020-06-10,57.939998626708984
2020-06-11,55.43000030517578
2020-06-12,55.47999954223633
2020-06-15,58.529998779296875
2020-06-16,59.90999984741211
2020-06-17,58.599998474121094
2020-06-18,60.939998626708984
2020-06-19,60.869998931884766
2020-06-22,61.27000045776367
2020-06-23,60.70000076293945
2020-06-24,59.20000076293945
2020-06-25,62.619998931884766
2020-06-26,56.9900016784668
2020-06-29,58.040000915527344
2020-06-30,58.15999984741211
2020-07-01,59.5099983215332
2020-07-02,59.63999938964844
2020-07-06,60.0
2020-07-07,61.619998931884766
2020-07-08,62.470001220703125
2020-07-09,62.790000915527344
2020-07-10,62.15999984741211
2020-07-13,58.189998626708984
2020-07-14,54.09000015258789
2020-07-15,57.849998474121094
2020-07-16,58.90999984741211
2020-07-17,56.939998626708984
2020-07-20,55.77000045776367
2020-07-21,52.38999938964844
2020-07-22,51.150001525878906
2020-07-23,48.290000915527344
2020-07-24,47.959999084472656
2020-07-27,49.029998779296875
2020-07-28,48.2400016784668
2020-07-29,50.599998474121094
2020-07-30,50.380001068115234
2020-07-31,54.45000076293945
2020-08-03,56.040000915527344
2020-08-04,54.119998931884766
2020-08-05,41.689998626708984
2020-08-06,40.11000061035156
2020-08-07,42.810001373291016
2020-08-10,38.540000915527344
2020-08-11,37.02000045776367
2020-08-12,37.2599983215332
2020-08-13,36.689998626708984
2020-08-14,38.45000076293945
2020-08-17,40.599998474121094
2020-08-18,39.290000915527344
2020-08-19,37.77000045776367
2020-08-20,37.880001068115234
2020-08-21,37.209999084472656
2020-08-24,36.34000015258789
2020-08-25,36.779998779296875
