,EVOJ
2021-04-07,9.800000190734863
2021-04-08,9.800000190734863
2021-04-09,9.800000190734863
2021-04-12,9.800000190734863
2021-04-13,9.75
2021-04-14,9.829999923706055
2021-04-15,9.850000381469727
2021-04-16,9.829999923706055
2021-04-19,9.829999923706055
2021-04-20,9.75
2021-04-21,9.75
2021-04-22,9.729999542236328
2021-04-23,9.75
2021-04-26,9.739999771118164
2021-04-27,9.75
2021-04-28,9.75
2021-04-29,9.71500015258789
2021-04-30,9.710000038146973
2021-05-03,9.710000038146973
2021-05-04,9.699999809265137
2021-05-05,9.699999809265137
2021-05-06,9.729999542236328
2021-05-07,9.75
2021-05-10,9.760000228881836
2021-05-11,9.770000457763672
2021-05-12,9.770000457763672
2021-05-13,9.770000457763672
2021-05-14,9.729999542236328
