,EYPT
2005-01-27,401.6000061035156
2005-01-28,382.0
2005-01-31,356.0
2005-02-01,348.3999938964844
2005-02-02,348.0
2005-02-03,352.0
2005-02-04,360.0
2005-02-07,354.3999938964844
2005-02-08,350.0
2005-02-09,326.0
2005-02-10,310.0
2005-02-11,356.0
2005-02-14,358.0
2005-02-15,368.0
2005-02-16,366.0
2005-02-17,340.79998779296875
2005-02-18,344.0
2005-02-22,332.0
2005-02-23,312.0
2005-02-24,353.20001220703125
2005-02-25,346.0
2005-02-28,336.0
2005-03-01,324.0
2005-03-02,330.0
2005-03-03,330.79998779296875
2005-03-04,314.0
2005-03-07,313.20001220703125
2005-03-08,324.0
2005-03-09,324.0
2005-03-10,324.0
2005-03-11,304.0
2005-03-14,304.0
2005-03-15,308.0
2005-03-16,327.20001220703125
2005-03-17,327.20001220703125
2005-03-18,320.0
2005-03-21,316.0
2005-03-22,306.3999938964844
2005-03-23,290.0
2005-03-24,298.0
2005-03-28,288.3999938964844
2005-03-29,280.3999938964844
2005-03-30,270.0
2005-03-31,272.0
2005-04-01,264.0
2005-04-04,260.0
2005-04-05,276.0
2005-04-06,274.79998779296875
2005-04-07,272.0
2005-04-08,272.0
2005-04-11,266.0
2005-04-12,278.0
2005-04-13,264.0
2005-04-14,248.0
2005-04-15,236.0
2005-04-18,226.0
2005-04-19,228.8000030517578
2005-04-20,240.0
2005-04-21,240.0
2005-04-22,239.60000610351562
2005-04-25,238.8000030517578
2005-04-26,223.60000610351562
2005-04-27,216.0
2005-04-28,222.0
2005-04-29,208.0
2005-05-02,202.0
2005-05-03,203.60000610351562
2005-05-04,178.8000030517578
2005-05-05,180.0
2005-05-06,185.60000610351562
2005-05-09,176.0
2005-05-10,204.0
2005-05-11,220.8000030517578
2005-05-12,208.8000030517578
2005-05-13,208.8000030517578
2005-05-16,220.0
2005-05-17,247.1999969482422
2005-05-18,240.0
2005-05-19,245.60000610351562
2005-05-20,245.60000610351562
2005-05-23,296.0
2005-05-24,270.3999938964844
2005-05-25,258.0
2005-05-26,240.0
2005-05-27,230.0
2005-05-31,247.60000610351562
2005-06-01,260.0
2005-06-02,276.0
2005-06-03,273.6000061035156
2005-06-06,261.6000061035156
2005-06-07,260.0
2005-06-08,260.3999938964844
2005-06-09,269.6000061035156
2005-06-10,268.3999938964844
2005-06-13,262.0
2005-06-14,260.0
2005-06-15,264.0
2005-06-16,268.0
2005-06-17,262.3999938964844
2005-06-20,248.0
2005-06-21,258.0
2005-06-22,260.0
2005-06-23,265.6000061035156
2005-06-24,260.0
2005-06-27,252.0
2005-06-28,257.6000061035156
2005-06-29,248.0
2005-06-30,246.0
2005-07-01,244.39999389648438
2005-07-05,231.1999969482422
2005-07-06,232.8000030517578
2005-07-07,224.39999389648438
2005-07-08,236.39999389648438
2005-07-11,244.39999389648438
