,EZPW
1991-08-27,3.5
1991-08-28,3.5
1991-08-29,3.5833330154418945
1991-08-30,3.4166669845581055
1991-09-03,3.3333330154418945
1991-09-04,3.2916669845581055
1991-09-05,3.2916669845581055
1991-09-06,3.1666669845581055
1991-09-09,3.25
1991-09-10,3.1666669845581055
1991-09-11,3.2083330154418945
1991-09-12,3.25
1991-09-13,3.3333330154418945
1991-09-16,3.7083330154418945
1991-09-17,3.75
1991-09-18,3.75
1991-09-19,3.6666669845581055
1991-09-20,3.625
1991-09-23,3.5833330154418945
1991-09-24,3.4166669845581055
1991-09-25,3.7083330154418945
1991-09-26,3.8333330154418945
1991-09-27,4.0
1991-09-30,3.8333330154418945
1991-10-01,3.8333330154418945
1991-10-02,4.0
1991-10-03,4.0
1991-10-04,3.9166669845581055
1991-10-07,4.0
1991-10-08,3.8333330154418945
1991-10-09,3.75
1991-10-10,3.5833330154418945
1991-10-11,3.6666669845581055
1991-10-14,3.625
1991-10-15,3.8333330154418945
1991-10-16,3.8333330154418945
1991-10-17,3.8333330154418945
1991-10-18,3.9166669845581055
1991-10-21,3.9583330154418945
1991-10-22,4.0
1991-10-23,3.9583330154418945
1991-10-24,4.4166669845581055
1991-10-25,4.5
1991-10-28,4.4166669845581055
1991-10-29,4.5
1991-10-30,4.6666669845581055
1991-10-31,4.625
1991-11-01,4.6666669845581055
1991-11-04,4.6666669845581055
1991-11-05,4.75
1991-11-06,4.6666669845581055
1991-11-07,4.6666669845581055
1991-11-08,4.7916669845581055
1991-11-11,4.7083330154418945
1991-11-12,4.9166669845581055
1991-11-13,5.1666669845581055
1991-11-14,4.875
1991-11-15,4.75
1991-11-18,4.8333330154418945
1991-11-19,4.4166669845581055
1991-11-20,4.5
1991-11-21,4.5
1991-11-22,4.6666669845581055
1991-11-25,4.5
1991-11-26,4.5416669845581055
1991-11-27,4.6666669845581055
1991-11-29,4.5
1991-12-02,4.5
1991-12-03,4.6666669845581055
1991-12-04,4.5
1991-12-05,4.3333330154418945
1991-12-06,4.25
1991-12-09,4.3333330154418945
1991-12-10,4.25
1991-12-11,4.4166669845581055
1991-12-12,4.4166669845581055
1991-12-13,4.3333330154418945
1991-12-16,4.5
1991-12-17,4.4583330154418945
1991-12-18,4.5833330154418945
1991-12-19,4.6666669845581055
1991-12-20,4.4166669845581055
1991-12-23,4.4166669845581055
1991-12-24,4.4166669845581055
1991-12-26,4.5416669845581055
1991-12-27,4.6666669845581055
1991-12-30,4.4166669845581055
1991-12-31,4.75
1992-01-02,4.8333330154418945
1992-01-03,4.9166669845581055
1992-01-06,5.25
1992-01-07,5.0416669845581055
1992-01-08,5.1666669845581055
1992-01-09,5.0416669845581055
1992-01-10,4.9583330154418945
1992-01-13,5.0
1992-01-14,5.0
1992-01-15,5.25
1992-01-16,5.4166669845581055
1992-01-17,5.3333330154418945
1992-01-20,5.3333330154418945
1992-01-21,5.1666669845581055
1992-01-22,5.4166669845581055
1992-01-23,5.375
1992-01-24,5.2916669845581055
1992-01-27,5.3333330154418945
1992-01-28,5.4166669845581055
1992-01-29,5.2916669845581055
1992-01-30,5.5
1992-01-31,5.5
1992-02-03,6.25
1992-02-04,6.4583330154418945
1992-02-05,6.4583330154418945
1992-02-06,6.5833330154418945
1992-02-07,6.25
1992-02-10,6.3333330154418945
1992-02-11,6.3333330154418945
1992-02-12,6.4166669845581055
1992-02-13,6.3333330154418945
1992-02-14,6.5833330154418945
1992-02-18,6.375
1992-02-19,5.875
1992-02-20,6.0
1992-02-21,6.0
1992-02-24,6.0
1992-02-25,5.8333330154418945
1992-02-26,5.9166669845581055
1992-02-27,6.0416669845581055
1992-02-28,6.0833330154418945
1992-03-02,6.1666669845581055
1992-03-03,6.125
1992-03-04,6.0833330154418945
1992-03-05,6.0
1992-03-06,5.3333330154418945
1992-03-09,5.6666669845581055
1992-03-10,5.6666669845581055
1992-03-11,5.5833330154418945
1992-03-12,5.5
1992-03-13,5.5416669845581055
1992-03-16,5.5833330154418945
1992-03-17,5.5
1992-03-18,5.5833330154418945
1992-03-19,5.8333330154418945
1992-03-20,6.0
1992-03-23,6.3333330154418945
1992-03-24,6.25
1992-03-25,6.25
1992-03-26,6.1666669845581055
1992-03-27,5.9166669845581055
1992-03-30,5.875
1992-03-31,6.0
1992-04-01,6.0833330154418945
1992-04-02,6.0
1992-04-03,5.9166669845581055
1992-04-06,6.1666669845581055
1992-04-07,6.0
1992-04-08,5.9166669845581055
1992-04-09,5.9166669845581055
1992-04-10,5.75
1992-04-13,5.9166669845581055
1992-04-14,6.0833330154418945
1992-04-15,5.9166669845581055
1992-04-16,6.0
1992-04-20,5.9166669845581055
1992-04-21,6.1666669845581055
1992-04-22,5.9166669845581055
1992-04-23,5.6666669845581055
1992-04-24,5.9166669845581055
1992-04-27,4.6666669845581055
1992-04-28,4.1666669845581055
1992-04-29,4.3333330154418945
1992-04-30,4.5
1992-05-01,4.3333330154418945
1992-05-04,4.6666669845581055
1992-05-05,4.75
1992-05-06,4.9166669845581055
1992-05-07,4.9166669845581055
1992-05-08,4.8333330154418945
1992-05-11,4.75
1992-05-12,4.8333330154418945
1992-05-13,4.7083330154418945
1992-05-14,4.5833330154418945
1992-05-15,4.5416669845581055
1992-05-18,4.4166669845581055
1992-05-19,4.5
1992-05-20,4.5833330154418945
1992-05-21,4.4583330154418945
1992-05-22,4.3333330154418945
1992-05-26,4.3333330154418945
1992-05-27,4.25
1992-05-28,4.375
1992-05-29,4.2916669845581055
1992-06-01,4.1666669845581055
1992-06-02,4.4166669845581055
1992-06-03,4.3333330154418945
1992-06-04,4.3333330154418945
1992-06-05,4.25
1992-06-08,4.25
1992-06-09,4.3333330154418945
1992-06-10,4.3333330154418945
1992-06-11,4.3333330154418945
1992-06-12,4.0833330154418945
1992-06-15,4.3333330154418945
1992-06-16,4.25
1992-06-17,3.3333330154418945
1992-06-18,3.375
1992-06-19,3.4583330154418945
1992-06-22,3.3333330154418945
1992-06-23,3.4583330154418945
1992-06-24,3.5416669845581055
1992-06-25,3.6666669845581055
1992-06-26,3.6666669845581055
1992-06-29,3.5
1992-06-30,3.8333330154418945
1992-07-01,4.0833330154418945
1992-07-02,3.875
1992-07-06,4.0416669845581055
1992-07-07,4.0
1992-07-08,4.0
1992-07-09,4.0
1992-07-10,4.0
1992-07-13,4.0833330154418945
1992-07-14,3.8333330154418945
1992-07-15,3.8333330154418945
1992-07-16,3.9166669845581055
1992-07-17,4.0
1992-07-20,4.0
1992-07-21,3.8333330154418945
1992-07-22,3.9583330154418945
1992-07-23,4.6666669845581055
1992-07-24,4.625
1992-07-27,4.8333330154418945
1992-07-28,4.6666669845581055
1992-07-29,4.8333330154418945
1992-07-30,4.9166669845581055
1992-07-31,5.0833330154418945
1992-08-03,5.0
1992-08-04,4.9166669845581055
1992-08-05,4.9166669845581055
1992-08-06,4.9166669845581055
1992-08-07,4.75
1992-08-10,4.9166669845581055
1992-08-11,4.75
1992-08-12,4.7916669845581055
1992-08-13,4.75
1992-08-14,4.75
1992-08-17,4.7083330154418945
1992-08-18,4.8333330154418945
1992-08-19,4.6666669845581055
1992-08-20,4.6666669845581055
1992-08-21,4.6666669845581055
1992-08-24,4.6666669845581055
1992-08-25,4.6666669845581055
1992-08-26,4.6666669845581055
1992-08-27,4.5833330154418945
1992-08-28,4.75
1992-08-31,4.6666669845581055
1992-09-01,4.75
1992-09-02,5.0
1992-09-03,5.0833330154418945
1992-09-04,5.3333330154418945
1992-09-08,5.3333330154418945
1992-09-09,5.0833330154418945
1992-09-10,5.3333330154418945
1992-09-11,5.2916669845581055
1992-09-14,5.4166669845581055
1992-09-15,5.375
1992-09-16,5.4166669845581055
1992-09-17,5.25
1992-09-18,5.2916669845581055
1992-09-21,5.25
1992-09-22,5.2916669845581055
1992-09-23,5.25
1992-09-24,5.3333330154418945
1992-09-25,5.0833330154418945
1992-09-28,5.25
1992-09-29,5.5
1992-09-30,5.9166669845581055
1992-10-01,5.8333330154418945
1992-10-02,5.4166669845581055
1992-10-05,5.0833330154418945
1992-10-06,5.1666669845581055
1992-10-07,5.25
1992-10-08,5.3333330154418945
1992-10-09,5.4166669845581055
1992-10-12,5.2916669845581055
1992-10-13,5.0416669845581055
1992-10-14,5.25
1992-10-15,5.0
1992-10-16,5.0
1992-10-19,5.3333330154418945
1992-10-20,5.3333330154418945
1992-10-21,5.375
1992-10-22,5.25
1992-10-23,5.4166669845581055
1992-10-26,5.5
1992-10-27,5.5833330154418945
1992-10-28,5.5
1992-10-29,5.6666669845581055
1992-10-30,5.9166669845581055
1992-11-02,5.9583330154418945
1992-11-03,5.8333330154418945
1992-11-04,5.8333330154418945
1992-11-05,5.9166669845581055
1992-11-06,5.6666669845581055
1992-11-09,5.9166669845581055
1992-11-10,6.1666669845581055
1992-11-11,6.75
1992-11-12,6.625
1992-11-13,6.75
1992-11-16,6.6666669845581055
1992-11-17,6.75
1992-11-18,6.8333330154418945
1992-11-19,6.8333330154418945
1992-11-20,7.0
1992-11-23,7.25
1992-11-24,7.125
1992-11-25,7.1666669845581055
1992-11-27,7.1666669845581055
1992-11-30,7.25
1992-12-01,7.0
1992-12-02,7.1666669845581055
1992-12-03,7.4166669845581055
1992-12-04,7.8333330154418945
1992-12-07,7.75
1992-12-08,7.5833330154418945
1992-12-09,7.25
1992-12-10,6.75
1992-12-11,6.8333330154418945
1992-12-14,7.8333330154418945
1992-12-15,7.75
1992-12-16,7.75
1992-12-17,7.5833330154418945
1992-12-18,7.6666669845581055
1992-12-21,7.6666669845581055
1992-12-22,7.6666669845581055
1992-12-23,7.8333330154418945
1992-12-24,7.8333330154418945
1992-12-28,7.7916669845581055
1992-12-29,7.8333330154418945
1992-12-30,8.166666984558105
1992-12-31,8.333333015441895
1993-01-04,8.166666984558105
1993-01-05,7.75
1993-01-06,7.6666669845581055
1993-01-07,7.3333330154418945
1993-01-08,7.75
1993-01-11,7.875
1993-01-12,8.083333015441895
1993-01-13,8.0
1993-01-14,8.041666984558105
1993-01-15,8.083333015441895
1993-01-18,8.125
1993-01-19,8.333333015441895
1993-01-20,8.291666984558105
1993-01-21,8.75
1993-01-22,8.833333015441895
1993-01-25,9.0
1993-01-26,9.083333015441895
1993-01-27,9.166666984558105
1993-01-28,9.25
1993-01-29,9.166666984558105
1993-02-01,9.083333015441895
1993-02-02,8.708333015441895
1993-02-03,8.833333015441895
1993-02-04,8.916666984558105
1993-02-05,9.0
1993-02-08,8.916666984558105
1993-02-09,8.916666984558105
1993-02-10,8.75
1993-02-11,8.666666984558105
1993-02-12,8.583333015441895
1993-02-16,8.166666984558105
1993-02-17,8.333333015441895
1993-02-18,8.333333015441895
1993-02-19,8.333333015441895
1993-02-22,8.0
1993-02-23,7.75
1993-02-24,7.75
1993-02-25,7.5833330154418945
1993-02-26,7.5416669845581055
1993-03-01,7.5
1993-03-02,7.875
1993-03-03,7.8333330154418945
1993-03-04,8.0
1993-03-05,7.9166669845581055
1993-03-08,7.5
1993-03-09,7.5
1993-03-10,7.5833330154418945
1993-03-11,7.6666669845581055
1993-03-12,8.0
1993-03-15,8.0
1993-03-16,8.083333015441895
1993-03-17,8.083333015441895
1993-03-18,7.9583330154418945
1993-03-19,7.8333330154418945
1993-03-22,7.6666669845581055
1993-03-23,7.6666669845581055
1993-03-24,7.5
1993-03-25,7.375
1993-03-26,7.5
1993-03-29,7.6666669845581055
1993-03-30,7.6666669845581055
1993-03-31,7.0
1993-04-01,6.5833330154418945
1993-04-02,6.25
1993-04-05,6.5
1993-04-06,6.75
1993-04-07,7.0
1993-04-08,6.4166669845581055
1993-04-12,6.5
1993-04-13,6.75
1993-04-14,6.4166669845581055
1993-04-15,6.3333330154418945
1993-04-16,6.3333330154418945
1993-04-19,6.25
1993-04-20,6.1666669845581055
1993-04-21,6.25
1993-04-22,6.3333330154418945
