,FATE
2013-10-01,6.619999885559082
2013-10-02,6.949999809265137
2013-10-03,6.900000095367432
2013-10-04,7.150000095367432
2013-10-07,8.5
2013-10-08,7.940000057220459
2013-10-09,6.699999809265137
2013-10-10,6.960000038146973
2013-10-11,7.050000190734863
2013-10-14,7.010000228881836
2013-10-15,7.190000057220459
2013-10-16,7.0
2013-10-17,7.03000020980835
2013-10-18,7.0
2013-10-21,7.0
2013-10-22,6.71999979019165
2013-10-23,6.849999904632568
2013-10-24,6.929999828338623
2013-10-25,6.869999885559082
2013-10-28,6.449999809265137
2013-10-29,6.300000190734863
2013-10-30,6.25
2013-10-31,6.0
2013-11-01,6.010000228881836
2013-11-04,6.289999961853027
2013-11-05,6.110000133514404
2013-11-06,5.949999809265137
2013-11-07,5.0
2013-11-08,4.610000133514404
2013-11-11,4.650000095367432
2013-11-12,4.769999980926514
2013-11-13,5.159999847412109
2013-11-14,4.860000133514404
2013-11-15,5.099999904632568
2013-11-18,4.949999809265137
2013-11-19,5.0
2013-11-20,4.960000038146973
2013-11-21,5.0
2013-11-22,5.059999942779541
2013-11-25,5.050000190734863
2013-11-26,5.25
2013-11-27,5.460000038146973
2013-11-29,5.599999904632568
2013-12-02,5.639999866485596
2013-12-03,5.940000057220459
2013-12-04,6.050000190734863
2013-12-05,6.139999866485596
2013-12-06,6.329999923706055
2013-12-09,6.340000152587891
2013-12-10,6.400000095367432
2013-12-11,6.409999847412109
2013-12-12,7.0
2013-12-13,7.199999809265137
2013-12-16,7.0
2013-12-17,6.840000152587891
2013-12-18,7.190000057220459
2013-12-19,7.190000057220459
2013-12-20,6.820000171661377
2013-12-23,6.550000190734863
2013-12-24,6.829999923706055
2013-12-26,7.010000228881836
2013-12-27,6.96999979019165
2013-12-30,6.610000133514404
2013-12-31,6.28000020980835
2014-01-02,6.360000133514404
2014-01-03,6.820000171661377
2014-01-06,6.550000190734863
2014-01-07,6.369999885559082
2014-01-08,6.840000152587891
2014-01-09,6.619999885559082
2014-01-10,6.610000133514404
2014-01-13,6.429999828338623
2014-01-14,6.550000190734863
2014-01-15,6.639999866485596
2014-01-16,6.949999809265137
2014-01-17,7.159999847412109
2014-01-21,6.880000114440918
2014-01-22,7.019999980926514
2014-01-23,6.800000190734863
2014-01-24,6.920000076293945
2014-01-27,6.260000228881836
2014-01-28,6.25
2014-01-29,6.110000133514404
2014-01-30,6.260000228881836
2014-01-31,6.199999809265137
2014-02-03,6.25
2014-02-04,6.170000076293945
2014-02-05,6.119999885559082
2014-02-06,6.070000171661377
2014-02-07,6.199999809265137
2014-02-10,6.0
2014-02-11,5.989999771118164
2014-02-12,5.880000114440918
2014-02-13,5.920000076293945
2014-02-14,6.010000228881836
2014-02-18,6.0
2014-02-19,6.059999942779541
2014-02-20,6.0
2014-02-21,6.0
2014-02-24,6.099999904632568
2014-02-25,6.190000057220459
2014-02-26,6.260000228881836
2014-02-27,7.099999904632568
2014-02-28,6.96999979019165
2014-03-03,8.979999542236328
2014-03-04,8.670000076293945
2014-03-05,8.819999694824219
2014-03-06,9.470000267028809
2014-03-07,9.09000015258789
2014-03-10,9.039999961853027
2014-03-11,8.989999771118164
2014-03-12,8.829999923706055
2014-03-13,8.770000457763672
2014-03-14,11.149999618530273
2014-03-17,10.430000305175781
2014-03-18,11.510000228881836
2014-03-19,11.069999694824219
2014-03-20,11.649999618530273
2014-03-21,11.449999809265137
2014-03-24,11.350000381469727
2014-03-25,11.0
2014-03-26,12.279999732971191
2014-03-27,11.75
2014-03-28,11.260000228881836
2014-03-31,9.739999771118164
2014-04-01,9.0
2014-04-02,9.140000343322754
2014-04-03,8.569999694824219
2014-04-04,8.699999809265137
2014-04-07,8.359999656677246
2014-04-08,7.920000076293945
2014-04-09,8.079999923706055
2014-04-10,8.430000305175781
2014-04-11,8.0
2014-04-14,7.659999847412109
2014-04-15,6.730000019073486
2014-04-16,7.25
2014-04-17,7.0
2014-04-21,7.070000171661377
2014-04-22,7.110000133514404
2014-04-23,6.989999771118164
2014-04-24,7.039999961853027
2014-04-25,6.96999979019165
2014-04-28,7.019999980926514
2014-04-29,7.239999771118164
2014-04-30,6.880000114440918
2014-05-01,7.199999809265137
2014-05-02,7.110000133514404
2014-05-05,7.010000228881836
2014-05-06,7.090000152587891
2014-05-07,6.960000038146973
2014-05-08,6.840000152587891
2014-05-09,6.849999904632568
2014-05-12,6.909999847412109
2014-05-13,6.559999942779541
2014-05-14,6.550000190734863
2014-05-15,6.690000057220459
2014-05-16,6.650000095367432
2014-05-19,6.599999904632568
2014-05-20,6.460000038146973
2014-05-21,6.199999809265137
2014-05-22,6.550000190734863
2014-05-23,6.409999847412109
2014-05-27,6.489999771118164
2014-05-28,6.96999979019165
2014-05-29,6.940000057220459
2014-05-30,6.989999771118164
2014-06-02,6.710000038146973
2014-06-03,6.929999828338623
2014-06-04,6.659999847412109
2014-06-05,6.650000095367432
2014-06-06,6.710000038146973
2014-06-09,6.989999771118164
2014-06-10,7.0
2014-06-11,6.940000057220459
2014-06-12,6.989999771118164
2014-06-13,6.989999771118164
2014-06-16,6.940000057220459
2014-06-17,6.940000057220459
2014-06-18,6.75
2014-06-19,6.570000171661377
2014-06-20,6.210000038146973
2014-06-23,6.28000020980835
2014-06-24,6.480000019073486
2014-06-25,6.590000152587891
2014-06-26,6.53000020980835
2014-06-27,6.25
2014-06-30,6.309999942779541
2014-07-01,6.400000095367432
2014-07-02,6.489999771118164
2014-07-03,6.400000095367432
2014-07-07,6.489999771118164
2014-07-08,6.400000095367432
2014-07-09,6.400000095367432
2014-07-10,6.420000076293945
2014-07-11,6.480000019073486
2014-07-14,6.46999979019165
2014-07-15,6.440000057220459
2014-07-16,6.650000095367432
2014-07-17,6.440000057220459
2014-07-18,6.420000076293945
2014-07-21,6.510000228881836
2014-07-22,6.46999979019165
2014-07-23,6.440000057220459
2014-07-24,6.449999809265137
2014-07-25,6.28000020980835
2014-07-28,6.25
2014-07-29,6.119999885559082
