,FDUS
2011-06-21,15.0
2011-06-22,14.90999984741211
2011-06-23,14.829999923706055
2011-06-24,14.819999694824219
2011-06-27,14.850000381469727
2011-06-28,14.9399995803833
2011-06-29,14.880000114440918
2011-06-30,14.8100004196167
2011-07-01,15.0
2011-07-05,14.75
2011-07-06,14.75
2011-07-07,14.90999984741211
2011-07-08,14.880000114440918
2011-07-11,14.869999885559082
2011-07-12,14.640000343322754
2011-07-13,14.609999656677246
2011-07-14,14.600000381469727
2011-07-15,14.350000381469727
2011-07-18,14.09000015258789
2011-07-19,14.390000343322754
2011-07-20,14.039999961853027
2011-07-21,13.930000305175781
2011-07-22,14.359999656677246
2011-07-25,13.90999984741211
2011-07-26,14.130000114440918
2011-07-27,13.890000343322754
2011-07-28,13.869999885559082
2011-07-29,13.0
2011-08-01,13.550000190734863
2011-08-02,13.5
2011-08-03,13.300000190734863
2011-08-04,12.699999809265137
2011-08-05,12.770000457763672
2011-08-08,13.010000228881836
2011-08-09,12.75
2011-08-10,12.520000457763672
2011-08-11,12.609999656677246
2011-08-12,12.760000228881836
2011-08-15,13.039999961853027
2011-08-16,13.25
2011-08-17,13.100000381469727
2011-08-18,12.25
2011-08-19,12.289999961853027
2011-08-22,12.0
2011-08-23,12.890000343322754
2011-08-24,12.899999618530273
2011-08-25,12.84000015258789
2011-08-26,12.84000015258789
2011-08-29,13.079999923706055
2011-08-30,13.40999984741211
2011-08-31,13.229999542236328
2011-09-01,13.619999885559082
2011-09-02,13.119999885559082
2011-09-06,13.489999771118164
2011-09-07,13.569999694824219
2011-09-08,13.449999809265137
2011-09-09,13.350000381469727
2011-09-12,12.470000267028809
2011-09-13,12.829999923706055
2011-09-14,12.510000228881836
2011-09-15,12.9399995803833
2011-09-16,12.40999984741211
2011-09-19,12.649999618530273
2011-09-20,12.859999656677246
2011-09-21,12.319999694824219
2011-09-22,11.329999923706055
2011-09-23,11.510000228881836
2011-09-26,12.25
2011-09-27,13.0
2011-09-28,12.680000305175781
2011-09-29,12.050000190734863
2011-09-30,12.59000015258789
2011-10-03,11.729999542236328
2011-10-04,12.829999923706055
2011-10-05,13.239999771118164
2011-10-06,13.109999656677246
2011-10-07,12.899999618530273
2011-10-10,13.079999923706055
2011-10-11,13.140000343322754
2011-10-12,13.149999618530273
2011-10-13,13.0
2011-10-14,12.989999771118164
2011-10-17,12.460000038146973
2011-10-18,13.0
2011-10-19,11.90999984741211
2011-10-20,12.039999961853027
2011-10-21,11.949999809265137
2011-10-24,12.4399995803833
2011-10-25,11.890000343322754
2011-10-26,11.949999809265137
2011-10-27,12.90999984741211
2011-10-28,12.949999809265137
2011-10-31,13.0
2011-11-01,12.289999961853027
2011-11-02,12.640000343322754
2011-11-03,12.800000190734863
2011-11-04,12.0
2011-11-07,12.279999732971191
2011-11-08,12.609999656677246
2011-11-09,11.920000076293945
2011-11-10,12.279999732971191
2011-11-11,12.930000305175781
2011-11-14,12.199999809265137
2011-11-15,12.229999542236328
2011-11-16,12.210000038146973
2011-11-17,12.109999656677246
2011-11-18,12.069999694824219
2011-11-21,12.020000457763672
2011-11-22,12.010000228881836
2011-11-23,12.0
2011-11-25,12.039999961853027
2011-11-28,12.300000190734863
2011-11-29,12.050000190734863
2011-11-30,12.5
2011-12-01,12.3100004196167
2011-12-02,12.390000343322754
2011-12-05,12.359999656677246
2011-12-06,12.1899995803833
2011-12-07,12.470000267028809
2011-12-08,12.170000076293945
2011-12-09,12.899999618530273
2011-12-12,12.819999694824219
2011-12-13,12.569999694824219
2011-12-14,12.989999771118164
2011-12-15,13.0
2011-12-16,12.989999771118164
2011-12-19,12.270000457763672
2011-12-20,13.350000381469727
2011-12-21,13.479999542236328
2011-12-22,13.520000457763672
2011-12-23,13.039999961853027
2011-12-27,13.25
2011-12-28,12.789999961853027
2011-12-29,12.640000343322754
2011-12-30,12.970000267028809
2012-01-03,12.850000381469727
2012-01-04,12.9399995803833
2012-01-05,13.270000457763672
2012-01-06,13.489999771118164
2012-01-09,13.5600004196167
2012-01-10,13.5600004196167
2012-01-11,13.489999771118164
2012-01-12,13.40999984741211
2012-01-13,13.329999923706055
2012-01-17,13.40999984741211
2012-01-18,13.5600004196167
2012-01-19,13.529999732971191
2012-01-20,14.069999694824219
2012-01-23,14.0600004196167
2012-01-24,13.930000305175781
2012-01-25,14.0
2012-01-26,14.029999732971191
2012-01-27,13.199999809265137
2012-01-30,13.40999984741211
2012-01-31,13.670000076293945
2012-02-01,13.5600004196167
2012-02-02,13.380000114440918
2012-02-03,13.789999961853027
2012-02-06,13.710000038146973
2012-02-07,13.789999961853027
2012-02-08,13.569999694824219
2012-02-09,13.569999694824219
2012-02-10,13.529999732971191
2012-02-13,14.289999961853027
2012-02-14,13.789999961853027
2012-02-15,13.640000343322754
2012-02-16,13.9399995803833
2012-02-17,14.199999809265137
2012-02-21,14.210000038146973
2012-02-22,14.170000076293945
2012-02-23,14.380000114440918
2012-02-24,14.260000228881836
2012-02-27,14.180000305175781
2012-02-28,14.239999771118164
2012-02-29,14.1899995803833
2012-03-01,14.130000114440918
2012-03-02,13.899999618530273
2012-03-05,14.0
2012-03-06,13.5
2012-03-07,13.75
2012-03-08,13.739999771118164
2012-03-09,13.9399995803833
2012-03-12,13.760000228881836
2012-03-13,13.890000343322754
2012-03-14,13.760000228881836
2012-03-15,13.520000457763672
2012-03-16,13.510000228881836
2012-03-19,13.699999809265137
2012-03-20,12.989999771118164
2012-03-21,13.260000228881836
2012-03-22,13.180000305175781
2012-03-23,13.079999923706055
2012-03-26,13.539999961853027
2012-03-27,13.470000267028809
2012-03-28,13.930000305175781
2012-03-29,13.579999923706055
2012-03-30,14.010000228881836
2012-04-02,13.9399995803833
2012-04-03,13.720000267028809
2012-04-04,13.5
2012-04-05,13.520000457763672
2012-04-09,13.680000305175781
2012-04-10,13.449999809265137
2012-04-11,13.65999984741211
2012-04-12,13.819999694824219
2012-04-13,13.369999885559082
2012-04-16,13.529999732971191
2012-04-17,13.510000228881836
2012-04-18,13.489999771118164
2012-04-19,13.430000305175781
2012-04-20,13.5
2012-04-23,13.369999885559082
2012-04-24,13.649999618530273
2012-04-25,13.619999885559082
2012-04-26,13.760000228881836
2012-04-27,13.960000038146973
2012-04-30,13.5600004196167
2012-05-01,13.479999542236328
2012-05-02,13.539999961853027
2012-05-03,13.489999771118164
2012-05-04,13.520000457763672
2012-05-07,13.670000076293945
2012-05-08,13.869999885559082
2012-05-09,13.609999656677246
2012-05-10,13.59000015258789
2012-05-11,13.550000190734863
2012-05-14,13.5
2012-05-15,13.569999694824219
2012-05-16,13.600000381469727
2012-05-17,13.59000015258789
2012-05-18,13.220000267028809
2012-05-21,13.720000267028809
2012-05-22,13.529999732971191
2012-05-23,13.6899995803833
2012-05-24,13.630000114440918
2012-05-25,13.640000343322754
2012-05-29,13.75
2012-05-30,13.649999618530273
2012-05-31,13.75
2012-06-01,13.699999809265137
2012-06-04,13.5600004196167
2012-06-05,13.710000038146973
2012-06-06,14.229999542236328
2012-06-07,14.489999771118164
2012-06-08,14.380000114440918
2012-06-11,14.210000038146973
2012-06-12,14.449999809265137
2012-06-13,14.390000343322754
2012-06-14,14.460000038146973
2012-06-15,14.619999885559082
2012-06-18,14.4399995803833
2012-06-19,14.520000457763672
2012-06-20,14.5
2012-06-21,14.460000038146973
2012-06-22,14.649999618530273
2012-06-25,14.520000457763672
2012-06-26,14.420000076293945
2012-06-27,14.84000015258789
2012-06-28,14.960000038146973
2012-06-29,15.170000076293945
2012-07-02,15.220000267028809
2012-07-03,15.210000038146973
2012-07-05,15.020000457763672
2012-07-06,15.069999694824219
2012-07-09,15.199999809265137
2012-07-10,15.270000457763672
2012-07-11,15.039999961853027
2012-07-12,15.09000015258789
2012-07-13,15.239999771118164
2012-07-16,15.100000381469727
2012-07-17,15.0
2012-07-18,15.050000190734863
2012-07-19,14.970000267028809
2012-07-20,14.989999771118164
2012-07-23,14.890000343322754
2012-07-24,15.15999984741211
2012-07-25,15.390000343322754
2012-07-26,15.649999618530273
2012-07-27,15.75
2012-07-30,15.34000015258789
2012-07-31,15.279999732971191
2012-08-01,15.279999732971191
2012-08-02,15.15999984741211
2012-08-03,15.329999923706055
2012-08-06,15.210000038146973
2012-08-07,15.25
2012-08-08,15.5600004196167
2012-08-09,15.699999809265137
2012-08-10,15.720000267028809
2012-08-13,15.850000381469727
2012-08-14,15.989999771118164
2012-08-15,15.9399995803833
2012-08-16,16.0
2012-08-17,16.100000381469727
2012-08-20,16.040000915527344
2012-08-21,15.869999885559082
2012-08-22,15.880000114440918
2012-08-23,15.550000190734863
2012-08-24,15.90999984741211
2012-08-27,16.139999389648438
2012-08-28,16.219999313354492
2012-08-29,16.0
2012-08-30,16.209999084472656
2012-08-31,16.350000381469727
2012-09-04,16.479999542236328
2012-09-05,16.540000915527344
2012-09-06,16.780000686645508
2012-09-07,16.100000381469727
2012-09-10,16.1200008392334
2012-09-11,16.139999389648438
2012-09-12,16.25
2012-09-13,16.3700008392334
2012-09-14,16.299999237060547
2012-09-17,16.3700008392334
2012-09-18,16.350000381469727
2012-09-19,16.690000534057617
2012-09-20,16.559999465942383
2012-09-21,16.59000015258789
2012-09-24,16.75
2012-09-25,16.559999465942383
2012-09-26,16.34000015258789
2012-09-27,16.549999237060547
2012-09-28,16.700000762939453
2012-10-01,16.989999771118164
2012-10-02,16.84000015258789
2012-10-03,16.8700008392334
2012-10-04,16.969999313354492
2012-10-05,16.969999313354492
2012-10-08,16.850000381469727
2012-10-09,16.809999465942383
2012-10-10,16.760000228881836
2012-10-11,16.889999389648438
2012-10-12,16.170000076293945
2012-10-15,16.3700008392334
2012-10-16,16.5
2012-10-17,16.520000457763672
2012-10-18,16.399999618530273
2012-10-19,16.399999618530273
2012-10-22,16.360000610351562
2012-10-23,16.479999542236328
2012-10-24,16.5
2012-10-25,16.3700008392334
2012-10-26,16.530000686645508
2012-10-31,16.799999237060547
2012-11-01,16.860000610351562
2012-11-02,16.59000015258789
2012-11-05,16.90999984741211
2012-11-06,16.579999923706055
2012-11-07,15.4399995803833
2012-11-08,15.329999923706055
2012-11-09,15.489999771118164
2012-11-12,16.0
2012-11-13,15.899999618530273
2012-11-14,14.550000190734863
2012-11-15,15.420000076293945
2012-11-16,16.260000228881836
2012-11-19,16.290000915527344
2012-11-20,16.350000381469727
2012-11-21,16.59000015258789
2012-11-23,16.549999237060547
2012-11-26,16.450000762939453
2012-11-27,16.530000686645508
2012-11-28,16.6200008392334
2012-11-29,16.670000076293945
2012-11-30,17.0
