,FFWM
2014-11-03,9.329999923706055
2014-11-04,9.0
2014-11-05,9.274999618530273
2014-11-06,9.274999618530273
2014-11-07,9.5
2014-11-10,10.0
2014-11-11,9.25
2014-11-12,9.25
2014-11-13,9.25
2014-11-14,9.47249984741211
2014-11-17,9.3100004196167
2014-11-18,9.324999809265137
2014-11-19,9.25
2014-11-20,9.220000267028809
2014-11-21,9.19950008392334
2014-11-24,9.090499877929688
2014-11-25,9.074999809265137
2014-11-26,9.491000175476074
2014-11-28,9.199999809265137
2014-12-01,9.375
2014-12-02,9.399999618530273
2014-12-03,9.390000343322754
2014-12-04,9.5
2014-12-05,9.475000381469727
2014-12-08,9.449999809265137
2014-12-09,9.425000190734863
2014-12-10,9.416999816894531
2014-12-11,9.444999694824219
2014-12-12,9.399999618530273
2014-12-15,9.375
2014-12-16,9.274999618530273
2014-12-17,9.324999809265137
2014-12-18,9.25
2014-12-19,9.25
2014-12-22,9.175000190734863
2014-12-23,9.0
2014-12-24,8.925000190734863
2014-12-26,9.0
2014-12-29,9.015000343322754
2014-12-30,9.050000190734863
2014-12-31,9.069999694824219
2015-01-02,9.069999694824219
2015-01-05,8.979999542236328
2015-01-06,8.899999618530273
2015-01-07,8.949999809265137
2015-01-08,8.949999809265137
2015-01-09,8.9399995803833
2015-01-12,8.960000038146973
2015-01-13,8.9399995803833
2015-01-14,8.9350004196167
2015-01-15,8.904999732971191
2015-01-16,8.90999984741211
2015-01-20,8.989500045776367
2015-01-21,8.875
2015-01-22,8.90999984741211
2015-01-23,8.946000099182129
2015-01-26,8.925000190734863
2015-01-27,8.90999984741211
2015-01-28,8.90999984741211
2015-01-29,8.944999694824219
2015-01-30,8.90999984741211
2015-02-02,8.920000076293945
2015-02-03,8.949999809265137
2015-02-04,8.960000038146973
2015-02-05,9.050000190734863
2015-02-06,9.074999809265137
2015-02-09,8.979999542236328
2015-02-10,8.979999542236328
2015-02-11,9.03499984741211
2015-02-12,9.0
2015-02-13,9.0
2015-02-17,8.880000114440918
2015-02-18,8.906499862670898
2015-02-19,8.925000190734863
2015-02-20,8.944999694824219
2015-02-23,8.890000343322754
2015-02-24,8.96500015258789
2015-02-25,8.885000228881836
2015-02-26,8.975000381469727
2015-02-27,8.970000267028809
2015-03-02,8.899999618530273
2015-03-03,8.925000190734863
2015-03-04,8.899999618530273
2015-03-05,8.800000190734863
