,FGEN
2014-11-14,22.0
2014-11-17,23.809999465942383
2014-11-18,23.59000015258789
2014-11-19,23.3700008392334
2014-11-20,23.139999389648438
2014-11-21,22.81999969482422
2014-11-24,23.34000015258789
2014-11-25,23.610000610351562
2014-11-26,23.700000762939453
2014-11-28,22.649999618530273
2014-12-01,22.3700008392334
2014-12-02,21.540000915527344
2014-12-03,23.020000457763672
2014-12-04,23.84000015258789
2014-12-05,26.18000030517578
2014-12-08,28.0
2014-12-09,28.809999465942383
2014-12-10,28.920000076293945
2014-12-11,28.420000076293945
2014-12-12,28.989999771118164
2014-12-15,29.040000915527344
2014-12-16,29.06999969482422
2014-12-17,27.3799991607666
2014-12-18,28.049999237060547
2014-12-19,27.459999084472656
2014-12-22,26.31999969482422
2014-12-23,27.34000015258789
2014-12-24,27.5
2014-12-26,27.299999237060547
2014-12-29,27.5
2014-12-30,27.209999084472656
2014-12-31,27.34000015258789
2015-01-02,27.479999542236328
2015-01-05,33.790000915527344
2015-01-06,35.060001373291016
2015-01-07,36.22999954223633
2015-01-08,35.220001220703125
2015-01-09,33.900001525878906
2015-01-12,35.0099983215332
2015-01-13,33.72999954223633
2015-01-14,34.81999969482422
2015-01-15,33.58000183105469
2015-01-16,34.47999954223633
2015-01-20,34.0
2015-01-21,31.81999969482422
2015-01-22,29.809999465942383
2015-01-23,29.3799991607666
2015-01-26,29.920000076293945
2015-01-27,31.700000762939453
2015-01-28,31.030000686645508
2015-01-29,30.229999542236328
2015-01-30,29.530000686645508
2015-02-02,30.15999984741211
2015-02-03,30.290000915527344
2015-02-04,30.850000381469727
2015-02-05,31.75
2015-02-06,31.389999389648438
2015-02-09,31.31999969482422
2015-02-10,31.010000228881836
2015-02-11,29.399999618530273
2015-02-12,29.75
2015-02-13,30.25
2015-02-17,30.829999923706055
2015-02-18,31.110000610351562
2015-02-19,30.200000762939453
2015-02-20,30.15999984741211
2015-02-23,30.739999771118164
2015-02-24,30.75
2015-02-25,31.209999084472656
2015-02-26,31.010000228881836
2015-02-27,31.81999969482422
2015-03-02,32.09000015258789
2015-03-03,30.350000381469727
2015-03-04,29.65999984741211
2015-03-05,30.43000030517578
2015-03-06,29.81999969482422
2015-03-09,29.559999465942383
2015-03-10,28.399999618530273
2015-03-11,28.739999771118164
2015-03-12,28.799999237060547
2015-03-13,28.1299991607666
2015-03-16,29.18000030517578
2015-03-17,29.809999465942383
2015-03-18,29.06999969482422
2015-03-19,29.40999984741211
2015-03-20,30.93000030517578
2015-03-23,30.1200008392334
2015-03-24,30.649999618530273
2015-03-25,29.799999237060547
2015-03-26,29.510000228881836
2015-03-27,29.850000381469727
2015-03-30,31.59000015258789
2015-03-31,31.3799991607666
2015-04-01,30.540000915527344
2015-04-02,30.780000686645508
2015-04-06,30.989999771118164
2015-04-07,29.989999771118164
2015-04-08,30.149999618530273
2015-04-09,29.84000015258789
2015-04-10,29.899999618530273
2015-04-13,29.719999313354492
2015-04-14,29.25
2015-04-15,29.420000076293945
2015-04-16,29.459999084472656
2015-04-17,28.719999313354492
2015-04-20,28.420000076293945
2015-04-21,27.829999923706055
2015-04-22,26.459999084472656
2015-04-23,27.420000076293945
2015-04-24,26.90999984741211
2015-04-27,26.0
2015-04-28,25.040000915527344
2015-04-29,24.59000015258789
2015-04-30,23.25
2015-05-01,23.770000457763672
2015-05-04,23.940000534057617
2015-05-05,23.559999465942383
2015-05-06,23.440000534057617
2015-05-07,23.860000610351562
2015-05-08,23.989999771118164
2015-05-11,24.610000610351562
2015-05-12,23.809999465942383
2015-05-13,23.600000381469727
2015-05-14,21.389999389648438
2015-05-15,20.3799991607666
2015-05-18,19.899999618530273
2015-05-19,18.440000534057617
2015-05-20,18.0
2015-05-21,17.549999237060547
2015-05-22,18.0
2015-05-26,17.6299991607666
2015-05-27,18.65999984741211
2015-05-28,18.610000610351562
2015-05-29,18.209999084472656
2015-06-01,17.5
2015-06-02,17.360000610351562
2015-06-03,18.34000015258789
2015-06-04,17.979999542236328
2015-06-05,18.309999465942383
2015-06-08,20.59000015258789
2015-06-09,19.399999618530273
2015-06-10,19.09000015258789
2015-06-11,19.489999771118164
2015-06-12,18.81999969482422
2015-06-15,18.790000915527344
2015-06-16,18.440000534057617
2015-06-17,19.200000762939453
2015-06-18,20.030000686645508
2015-06-19,21.719999313354492
2015-06-22,23.15999984741211
2015-06-23,23.079999923706055
2015-06-24,23.809999465942383
2015-06-25,23.530000686645508
2015-06-26,24.389999389648438
2015-06-29,23.049999237060547
2015-06-30,23.5
2015-07-01,23.229999542236328
2015-07-02,23.020000457763672
2015-07-06,22.850000381469727
2015-07-07,22.8700008392334
2015-07-08,21.93000030517578
2015-07-09,22.239999771118164
2015-07-10,22.81999969482422
2015-07-13,22.719999313354492
2015-07-14,23.25
2015-07-15,23.389999389648438
2015-07-16,23.600000381469727
2015-07-17,23.209999084472656
2015-07-20,24.739999771118164
2015-07-21,24.670000076293945
2015-07-22,24.459999084472656
2015-07-23,24.709999084472656
2015-07-24,24.09000015258789
2015-07-27,24.040000915527344
2015-07-28,23.299999237060547
2015-07-29,22.579999923706055
2015-07-30,22.920000076293945
2015-07-31,23.25
2015-08-03,23.110000610351562
