,FISI
1999-06-25,15.0
1999-06-28,14.875
1999-06-29,15.125
1999-06-30,15.0
1999-07-01,14.375
1999-07-02,14.5
1999-07-06,14.5
1999-07-07,14.9375
1999-07-08,14.375
1999-07-09,14.5625
1999-07-12,14.625
1999-07-13,14.625
1999-07-14,14.5
1999-07-15,14.4375
1999-07-16,14.75
1999-07-19,14.625
1999-07-20,14.5
1999-07-21,14.375
1999-07-22,14.5
1999-07-23,14.4375
1999-07-26,14.375
1999-07-27,14.125
1999-07-28,14.125
1999-07-29,14.1875
1999-07-30,14.0
1999-08-02,14.0
1999-08-03,14.0625
1999-08-04,14.0
1999-08-05,13.9375
1999-08-06,13.9375
1999-08-09,13.9375
1999-08-10,13.9375
1999-08-11,13.9375
1999-08-12,13.9375
1999-08-13,13.875
1999-08-16,13.9375
1999-08-17,13.875
1999-08-18,13.8125
1999-08-19,13.5
1999-08-20,13.5
1999-08-23,13.5
1999-08-24,13.5
1999-08-25,12.3125
1999-08-26,12.375
1999-08-27,12.75
1999-08-30,12.375
1999-08-31,12.75
1999-09-01,13.25
1999-09-02,13.125
1999-09-03,13.625
1999-09-07,13.375
1999-09-08,13.0625
1999-09-09,12.625
1999-09-10,13.0
1999-09-13,12.875
1999-09-14,12.8125
1999-09-15,12.9375
1999-09-16,12.9375
1999-09-17,13.0
1999-09-20,13.0
1999-09-21,12.8125
1999-09-22,12.8125
1999-09-23,12.375
1999-09-24,12.875
1999-09-27,12.875
1999-09-28,12.875
1999-09-29,12.9375
1999-09-30,12.9375
1999-10-01,13.0
1999-10-04,13.0
1999-10-05,13.0
1999-10-06,13.0
1999-10-07,13.0
1999-10-08,13.0
1999-10-11,12.6875
1999-10-12,12.6875
1999-10-13,12.6875
1999-10-14,12.75
1999-10-15,12.625
1999-10-18,12.3125
1999-10-19,12.0
1999-10-20,12.0625
1999-10-21,12.0625
1999-10-22,12.1875
1999-10-25,12.4375
1999-10-26,12.5
1999-10-27,12.5
1999-10-28,12.75
1999-10-29,14.0
1999-11-01,13.625
1999-11-02,13.375
1999-11-03,13.25
1999-11-04,13.25
1999-11-05,13.375
1999-11-08,12.875
1999-11-09,13.0625
1999-11-10,13.0
1999-11-11,13.125
1999-11-12,13.875
1999-11-15,13.875
1999-11-16,13.875
1999-11-17,13.3125
1999-11-18,13.5
1999-11-19,13.0625
1999-11-22,12.25
1999-11-23,12.3125
1999-11-24,12.375
1999-11-26,12.5
1999-11-29,12.375
1999-11-30,12.375
1999-12-01,12.25
1999-12-02,14.0
1999-12-03,13.25
1999-12-06,12.625
1999-12-07,12.625
1999-12-08,12.5
1999-12-09,12.5
1999-12-10,12.5
1999-12-13,12.1875
1999-12-14,12.125
1999-12-15,12.125
