,FIVN
2014-04-04,7.639999866485596
2014-04-07,7.110000133514404
2014-04-08,7.099999904632568
2014-04-09,7.119999885559082
2014-04-10,7.269999980926514
2014-04-11,7.369999885559082
2014-04-14,7.360000133514404
2014-04-15,7.800000190734863
2014-04-16,7.730000019073486
2014-04-17,7.550000190734863
2014-04-21,7.130000114440918
2014-04-22,7.389999866485596
2014-04-23,7.239999771118164
2014-04-24,7.050000190734863
2014-04-25,6.949999809265137
2014-04-28,6.579999923706055
2014-04-29,6.980000019073486
2014-04-30,7.130000114440918
2014-05-01,7.079999923706055
2014-05-02,7.0
2014-05-05,7.039999961853027
2014-05-06,6.829999923706055
2014-05-07,6.550000190734863
2014-05-08,5.960000038146973
2014-05-09,5.559999942779541
2014-05-12,5.739999771118164
2014-05-13,5.599999904632568
2014-05-14,5.679999828338623
2014-05-15,5.840000152587891
2014-05-16,5.699999809265137
2014-05-19,6.050000190734863
2014-05-20,6.679999828338623
2014-05-21,6.71999979019165
2014-05-22,6.820000171661377
2014-05-23,6.739999771118164
2014-05-27,6.639999866485596
2014-05-28,6.800000190734863
2014-05-29,7.039999961853027
2014-05-30,7.489999771118164
2014-06-02,7.380000114440918
2014-06-03,7.119999885559082
2014-06-04,7.039999961853027
2014-06-05,7.139999866485596
2014-06-06,7.400000095367432
2014-06-09,8.029999732971191
2014-06-10,7.980000019073486
2014-06-11,8.010000228881836
2014-06-12,7.949999809265137
2014-06-13,7.880000114440918
2014-06-16,7.900000095367432
2014-06-17,7.920000076293945
2014-06-18,7.869999885559082
2014-06-19,7.809999942779541
2014-06-20,7.269999980926514
2014-06-23,6.900000095367432
2014-06-24,6.909999847412109
2014-06-25,6.670000076293945
2014-06-26,6.730000019073486
2014-06-27,6.699999809265137
2014-06-30,7.199999809265137
2014-07-01,6.769999980926514
2014-07-02,6.739999771118164
2014-07-03,6.980000019073486
2014-07-07,7.039999961853027
2014-07-08,6.949999809265137
2014-07-09,6.900000095367432
2014-07-10,6.880000114440918
2014-07-11,6.78000020980835
2014-07-14,7.0
2014-07-15,6.940000057220459
2014-07-16,6.96999979019165
2014-07-17,6.989999771118164
2014-07-18,7.25
2014-07-21,7.389999866485596
2014-07-22,7.639999866485596
2014-07-23,7.369999885559082
2014-07-24,7.300000190734863
2014-07-25,7.809999942779541
2014-07-28,7.75
2014-07-29,7.699999809265137
2014-07-30,7.730000019073486
2014-07-31,7.28000020980835
2014-08-01,7.230000019073486
2014-08-04,7.619999885559082
2014-08-05,6.579999923706055
2014-08-06,6.420000076293945
2014-08-07,6.050000190734863
2014-08-08,6.199999809265137
2014-08-11,6.289999961853027
2014-08-12,6.329999923706055
2014-08-13,6.349999904632568
2014-08-14,6.170000076293945
2014-08-15,6.170000076293945
2014-08-18,6.150000095367432
2014-08-19,5.920000076293945
2014-08-20,6.019999980926514
2014-08-21,5.949999809265137
2014-08-22,6.039999961853027
2014-08-25,5.960000038146973
2014-08-26,6.090000152587891
2014-08-27,5.960000038146973
2014-08-28,5.809999942779541
2014-08-29,5.869999885559082
2014-09-02,5.929999828338623
2014-09-03,5.900000095367432
2014-09-04,5.800000190734863
2014-09-05,6.010000228881836
2014-09-08,5.925000190734863
2014-09-09,5.760000228881836
2014-09-10,5.929999828338623
2014-09-11,6.0
2014-09-12,6.010000228881836
2014-09-15,5.989999771118164
2014-09-16,6.0
2014-09-17,6.010000228881836
2014-09-18,6.150000095367432
2014-09-19,6.039999961853027
2014-09-22,6.0
2014-09-23,5.989999771118164
2014-09-24,6.03000020980835
2014-09-25,5.989999771118164
2014-09-26,6.0
2014-09-29,5.989999771118164
2014-09-30,6.539999961853027
2014-10-01,5.989999771118164
2014-10-02,6.0
2014-10-03,5.980000019073486
2014-10-06,5.860000133514404
2014-10-07,5.650000095367432
2014-10-08,5.570000171661377
2014-10-09,5.289999961853027
2014-10-10,5.159999847412109
2014-10-13,4.940000057220459
2014-10-14,4.769999980926514
2014-10-15,4.710000038146973
2014-10-16,4.590000152587891
2014-10-17,4.309999942779541
2014-10-20,4.489999771118164
2014-10-21,4.449999809265137
2014-10-22,4.289999961853027
2014-10-23,4.349999904632568
2014-10-24,4.329999923706055
2014-10-27,4.389999866485596
2014-10-28,4.389999866485596
2014-10-29,4.329999923706055
2014-10-30,4.289999961853027
2014-10-31,4.400000095367432
2014-11-03,4.309999942779541
2014-11-04,4.25
2014-11-05,4.25
2014-11-06,4.449999809265137
2014-11-07,5.079999923706055
2014-11-10,4.829999923706055
2014-11-11,4.789999961853027
2014-11-12,4.909999847412109
2014-11-13,4.940000057220459
2014-11-14,4.96999979019165
2014-11-17,4.949999809265137
2014-11-18,4.820000171661377
2014-11-19,4.420000076293945
2014-11-20,4.289999961853027
2014-11-21,4.510000228881836
2014-11-24,4.5
2014-11-25,4.5
2014-11-26,4.46999979019165
2014-11-28,4.409999847412109
2014-12-01,4.409999847412109
2014-12-02,4.489999771118164
2014-12-03,4.489999771118164
2014-12-04,4.480000019073486
2014-12-05,4.480000019073486
2014-12-08,4.5
2014-12-09,4.5
2014-12-10,4.440000057220459
2014-12-11,4.380000114440918
2014-12-12,4.210000038146973
2014-12-15,4.380000114440918
2014-12-16,4.039999961853027
2014-12-17,4.199999809265137
2014-12-18,4.440000057220459
2014-12-19,4.5
2014-12-22,4.519999980926514
2014-12-23,4.449999809265137
2014-12-24,4.559999942779541
2014-12-26,4.619999885559082
2014-12-29,4.5
2014-12-30,4.489999771118164
2014-12-31,4.480000019073486
2015-01-02,4.489999771118164
2015-01-05,4.46999979019165
2015-01-06,4.389999866485596
2015-01-07,4.360000133514404
2015-01-08,4.340000152587891
2015-01-09,4.25
2015-01-12,3.990000009536743
2015-01-13,4.119999885559082
2015-01-14,4.150000095367432
2015-01-15,4.210000038146973
2015-01-16,4.329999923706055
2015-01-20,4.21999979019165
2015-01-21,4.289999961853027
2015-01-22,4.340000152587891
2015-01-23,4.329999923706055
2015-01-26,4.300000190734863
2015-01-27,4.21999979019165
2015-01-28,4.050000190734863
2015-01-29,3.9800000190734863
2015-01-30,3.930000066757202
2015-02-02,3.819999933242798
2015-02-03,3.940000057220459
2015-02-04,3.990000009536743
2015-02-05,3.9700000286102295
2015-02-06,3.9700000286102295
2015-02-09,3.8399999141693115
2015-02-10,3.940000057220459
2015-02-11,3.890000104904175
2015-02-12,3.869999885559082
2015-02-13,3.7799999713897705
2015-02-17,3.759999990463257
2015-02-18,3.7699999809265137
2015-02-19,3.809999942779541
2015-02-20,3.799999952316284
2015-02-23,3.7799999713897705
2015-02-24,3.809999942779541
2015-02-25,3.819999933242798
2015-02-26,3.859999895095825
2015-02-27,3.9000000953674316
2015-03-02,3.930000066757202
2015-03-03,4.199999809265137
2015-03-04,4.03000020980835
2015-03-05,4.210000038146973
2015-03-06,4.309999942779541
2015-03-09,4.380000114440918
2015-03-10,4.139999866485596
2015-03-11,4.289999961853027
2015-03-12,4.489999771118164
2015-03-13,4.53000020980835
2015-03-16,4.53000020980835
2015-03-17,4.760000228881836
2015-03-18,4.980000019073486
2015-03-19,5.079999923706055
2015-03-20,5.480000019073486
2015-03-23,5.5
2015-03-24,5.5
2015-03-25,5.46999979019165
2015-03-26,5.519999980926514
2015-03-27,5.630000114440918
2015-03-30,5.679999828338623
2015-03-31,5.559999942779541
2015-04-01,5.46999979019165
2015-04-02,5.5
2015-04-06,5.46999979019165
2015-04-07,5.480000019073486
2015-04-08,5.489999771118164
2015-04-09,5.179999828338623
2015-04-10,5.300000190734863
2015-04-13,5.110000133514404
2015-04-14,5.449999809265137
2015-04-15,5.340000152587891
2015-04-16,5.349999904632568
2015-04-17,5.309999942779541
2015-04-20,5.389999866485596
2015-04-21,5.710000038146973
2015-04-22,5.739999771118164
2015-04-23,5.840000152587891
2015-04-24,5.710000038146973
2015-04-27,5.519999980926514
2015-04-28,5.639999866485596
2015-04-29,5.559999942779541
2015-04-30,5.429999828338623
2015-05-01,5.429999828338623
2015-05-04,5.400000095367432
2015-05-05,5.449999809265137
2015-05-06,5.349999904632568
2015-05-07,5.360000133514404
2015-05-08,5.420000076293945
2015-05-11,5.570000171661377
2015-05-12,5.570000171661377
2015-05-13,5.53000020980835
2015-05-14,5.590000152587891
2015-05-15,5.519999980926514
2015-05-18,5.550000190734863
2015-05-19,5.559999942779541
2015-05-20,5.440000057220459
2015-05-21,5.460000038146973
2015-05-22,5.449999809265137
2015-05-26,5.389999866485596
2015-05-27,5.21999979019165
2015-05-28,5.28000020980835
2015-05-29,5.090000152587891
2015-06-01,5.139999866485596
2015-06-02,5.099999904632568
2015-06-03,5.210000038146973
2015-06-04,5.21999979019165
2015-06-05,5.570000171661377
2015-06-08,5.739999771118164
2015-06-09,5.670000076293945
2015-06-10,5.670000076293945
2015-06-11,5.599999904632568
2015-06-12,5.710000038146973
2015-06-15,5.75
2015-06-16,5.679999828338623
2015-06-17,5.820000171661377
2015-06-18,5.880000114440918
2015-06-19,5.960000038146973
2015-06-22,6.090000152587891
2015-06-23,5.804999828338623
2015-06-24,5.489999771118164
2015-06-25,5.489999771118164
2015-06-26,5.449999809265137
2015-06-29,5.039999961853027
2015-06-30,5.230000019073486
2015-07-01,5.309999942779541
2015-07-02,5.510000228881836
2015-07-06,5.519999980926514
2015-07-07,5.329999923706055
2015-07-08,5.21999979019165
2015-07-09,5.260000228881836
2015-07-10,5.46999979019165
2015-07-13,5.440000057220459
2015-07-14,5.489999771118164
2015-07-15,5.380000114440918
2015-07-16,5.480000019073486
2015-07-17,5.590000152587891
2015-07-20,5.369999885559082
2015-07-21,5.480000019073486
2015-07-22,5.539999961853027
2015-07-23,5.460000038146973
2015-07-24,5.409999847412109
2015-07-27,5.170000076293945
2015-07-28,5.110000133514404
2015-07-29,4.610000133514404
2015-07-30,4.389999866485596
2015-07-31,4.710000038146973
2015-08-03,4.929999828338623
2015-08-04,4.929999828338623
2015-08-05,4.789999961853027
2015-08-06,4.460000038146973
2015-08-07,4.449999809265137
2015-08-10,4.559999942779541
2015-08-11,4.440000057220459
2015-08-12,4.5
2015-08-13,4.489999771118164
2015-08-14,4.460000038146973
2015-08-17,4.449999809265137
2015-08-18,4.190000057220459
2015-08-19,4.239999771118164
2015-08-20,4.099999904632568
2015-08-21,4.110000133514404
2015-08-24,4.139999866485596
2015-08-25,4.150000095367432
2015-08-26,4.050000190734863
2015-08-27,4.170000076293945
2015-08-28,4.03000020980835
2015-08-31,3.930000066757202
2015-09-01,3.890000104904175
2015-09-02,3.8499999046325684
2015-09-03,3.799999952316284
2015-09-04,3.7300000190734863
2015-09-08,3.700000047683716
2015-09-09,3.75
2015-09-10,3.7300000190734863
2015-09-11,3.7300000190734863
2015-09-14,3.7899999618530273
2015-09-15,3.9000000953674316
2015-09-16,4.059999942779541
2015-09-17,4.139999866485596
2015-09-18,4.099999904632568
2015-09-21,4.079999923706055
2015-09-22,3.9700000286102295
2015-09-23,3.990000009536743
2015-09-24,3.9800000190734863
2015-09-25,3.8499999046325684
2015-09-28,3.9000000953674316
2015-09-29,3.700000047683716
2015-09-30,3.700000047683716
2015-10-01,3.5799999237060547
2015-10-02,3.700000047683716
2015-10-05,3.759999990463257
2015-10-06,3.7799999713897705
2015-10-07,3.8299999237060547
2015-10-08,3.8499999046325684
2015-10-09,4.03000020980835
2015-10-12,3.8399999141693115
2015-10-13,3.9000000953674316
2015-10-14,3.8299999237060547
2015-10-15,4.0
2015-10-16,3.9800000190734863
2015-10-19,4.099999904632568
2015-10-20,4.25
2015-10-21,4.179999828338623
2015-10-22,4.210000038146973
2015-10-23,4.300000190734863
2015-10-26,4.070000171661377
2015-10-27,3.9800000190734863
2015-10-28,4.179999828338623
2015-10-29,4.099999904632568
2015-10-30,4.329999923706055
2015-11-02,4.420000076293945
2015-11-03,4.590000152587891
2015-11-04,5.539999961853027
2015-11-05,5.889999866485596
2015-11-06,5.920000076293945
2015-11-09,5.599999904632568
2015-11-10,5.599999904632568
2015-11-11,5.519999980926514
2015-11-12,5.610000133514404
2015-11-13,5.510000228881836
2015-11-16,5.670000076293945
2015-11-17,5.679999828338623
2015-11-18,5.690000057220459
2015-11-19,5.849999904632568
2015-11-20,6.039999961853027
2015-11-23,6.369999885559082
2015-11-24,6.519999980926514
2015-11-25,6.590000152587891
2015-11-27,6.599999904632568
2015-11-30,6.650000095367432
2015-12-01,6.789999961853027
2015-12-02,6.650000095367432
2015-12-03,6.550000190734863
2015-12-04,6.650000095367432
2015-12-07,6.679999828338623
2015-12-08,6.639999866485596
2015-12-09,7.119999885559082
2015-12-10,7.380000114440918
2015-12-11,7.570000171661377
2015-12-14,7.53000020980835
2015-12-15,7.440000057220459
2015-12-16,7.539999961853027
2015-12-17,7.610000133514404
2015-12-18,7.769999980926514
2015-12-21,7.889999866485596
2015-12-22,7.929999828338623
2015-12-23,7.960000038146973
2015-12-24,8.239999771118164
2015-12-28,8.680000305175781
2015-12-29,8.949999809265137
2015-12-30,8.579999923706055
2015-12-31,8.699999809265137
2016-01-04,8.25
2016-01-05,8.520000457763672
2016-01-06,8.40999984741211
2016-01-07,8.039999961853027
2016-01-08,8.020000457763672
2016-01-11,8.010000228881836
2016-01-12,8.34000015258789
2016-01-13,7.800000190734863
2016-01-14,7.519999980926514
2016-01-15,7.380000114440918
2016-01-19,7.119999885559082
2016-01-20,7.199999809265137
2016-01-21,7.25
2016-01-22,7.559999942779541
2016-01-25,7.369999885559082
2016-01-26,7.559999942779541
2016-01-27,7.650000095367432
2016-01-28,8.039999961853027
2016-01-29,8.329999923706055
2016-02-01,8.40999984741211
2016-02-02,8.289999961853027
2016-02-03,8.239999771118164
2016-02-04,8.710000038146973
2016-02-05,7.059999942779541
2016-02-08,6.659999847412109
2016-02-09,6.900000095367432
2016-02-10,6.409999847412109
2016-02-11,6.300000190734863
2016-02-12,6.199999809265137
2016-02-16,6.409999847412109
2016-02-17,7.070000171661377
2016-02-18,7.0
2016-02-19,7.349999904632568
2016-02-22,7.599999904632568
2016-02-23,7.349999904632568
2016-02-24,7.880000114440918
2016-02-25,7.880000114440918
2016-02-26,7.659999847412109
2016-02-29,8.050000190734863
2016-03-01,8.270000457763672
2016-03-02,8.319999694824219
2016-03-03,8.1899995803833
2016-03-04,8.170000076293945
2016-03-07,8.239999771118164
2016-03-08,8.199999809265137
2016-03-09,8.130000114440918
2016-03-10,7.78000020980835
2016-03-11,7.769999980926514
2016-03-14,7.980000019073486
2016-03-15,7.800000190734863
2016-03-16,7.840000152587891
2016-03-17,7.730000019073486
2016-03-18,7.800000190734863
2016-03-21,8.34000015258789
2016-03-22,8.59000015258789
2016-03-23,8.619999885559082
2016-03-24,8.989999771118164
2016-03-28,9.34000015258789
2016-03-29,9.550000190734863
2016-03-30,9.09000015258789
2016-03-31,8.890000343322754
2016-04-01,9.0
2016-04-04,8.789999961853027
2016-04-05,8.449999809265137
2016-04-06,8.6899995803833
2016-04-07,8.460000038146973
2016-04-08,8.390000343322754
2016-04-11,8.470000267028809
2016-04-12,8.399999618530273
2016-04-13,8.569999694824219
2016-04-14,8.930000305175781
2016-04-15,8.670000076293945
2016-04-18,9.140000343322754
2016-04-19,9.029999732971191
2016-04-20,9.130000114440918
2016-04-21,9.130000114440918
2016-04-22,9.0
2016-04-25,9.029999732971191
2016-04-26,9.09000015258789
2016-04-27,9.050000190734863
2016-04-28,9.149999618530273
2016-04-29,9.25
2016-05-02,9.699999809265137
2016-05-03,9.59000015258789
2016-05-04,9.520000457763672
2016-05-05,9.59000015258789
2016-05-06,9.479999542236328
2016-05-09,9.850000381469727
2016-05-10,9.899999618530273
2016-05-11,10.1899995803833
2016-05-12,9.239999771118164
2016-05-13,9.100000381469727
2016-05-16,8.9399995803833
2016-05-17,8.619999885559082
2016-05-18,10.0
2016-05-19,9.670000076293945
2016-05-20,9.789999961853027
2016-05-23,9.720000267028809
2016-05-24,9.770000457763672
2016-05-25,9.899999618530273
2016-05-26,10.300000190734863
2016-05-27,10.260000228881836
2016-05-31,10.1899995803833
2016-06-01,10.920000076293945
2016-06-02,11.229999542236328
2016-06-03,11.520000457763672
2016-06-06,11.800000190734863
2016-06-07,11.880000114440918
2016-06-08,12.0
2016-06-09,12.520000457763672
2016-06-10,12.260000228881836
2016-06-13,12.579999923706055
2016-06-14,12.930000305175781
2016-06-15,12.220000267028809
2016-06-16,11.920000076293945
2016-06-17,11.829999923706055
2016-06-20,11.550000190734863
2016-06-21,11.529999732971191
2016-06-22,11.390000343322754
2016-06-23,11.880000114440918
2016-06-24,11.579999923706055
2016-06-27,11.199999809265137
2016-06-28,11.510000228881836
2016-06-29,11.619999885559082
2016-06-30,11.899999618530273
2016-07-01,11.869999885559082
2016-07-05,11.779999732971191
2016-07-06,11.84000015258789
2016-07-07,11.859999656677246
2016-07-08,12.0
2016-07-11,12.109999656677246
2016-07-12,12.329999923706055
2016-07-13,12.260000228881836
2016-07-14,12.140000343322754
2016-07-15,12.100000381469727
2016-07-18,12.119999885559082
2016-07-19,12.119999885559082
2016-07-20,12.180000305175781
2016-07-21,12.079999923706055
2016-07-22,12.069999694824219
2016-07-25,12.319999694824219
2016-07-26,12.520000457763672
2016-07-27,12.550000190734863
2016-07-28,12.479999542236328
2016-07-29,12.609999656677246
2016-08-01,12.59000015258789
2016-08-02,12.649999618530273
2016-08-03,12.4399995803833
2016-08-04,12.800000190734863
2016-08-05,13.829999923706055
2016-08-08,13.600000381469727
2016-08-09,13.5600004196167
2016-08-10,13.359999656677246
2016-08-11,13.359999656677246
2016-08-12,13.3100004196167
2016-08-15,13.789999961853027
2016-08-16,13.600000381469727
2016-08-17,13.609999656677246
2016-08-18,13.670000076293945
2016-08-19,14.09000015258789
2016-08-22,14.199999809265137
2016-08-23,14.819999694824219
2016-08-24,14.720000267028809
2016-08-25,14.649999618530273
2016-08-26,14.899999618530273
2016-08-29,14.6899995803833
2016-08-30,14.5
2016-08-31,14.989999771118164
2016-09-01,15.5600004196167
2016-09-02,15.869999885559082
2016-09-06,15.510000228881836
2016-09-07,15.420000076293945
2016-09-08,14.930000305175781
2016-09-09,14.15999984741211
2016-09-12,14.550000190734863
2016-09-13,14.199999809265137
2016-09-14,14.329999923706055
2016-09-15,14.5
2016-09-16,14.539999961853027
2016-09-19,14.369999885559082
2016-09-20,14.15999984741211
2016-09-21,14.460000038146973
2016-09-22,14.729999542236328
2016-09-23,14.699999809265137
2016-09-26,14.84000015258789
2016-09-27,15.140000343322754
2016-09-28,15.449999809265137
2016-09-29,15.4399995803833
2016-09-30,15.680000305175781
2016-10-03,15.869999885559082
2016-10-04,15.9399995803833
2016-10-05,15.380000114440918
2016-10-06,15.270000457763672
2016-10-07,15.0
2016-10-10,15.319999694824219
2016-10-11,15.149999618530273
2016-10-12,14.710000038146973
2016-10-13,14.300000190734863
2016-10-14,14.130000114440918
2016-10-17,14.09000015258789
2016-10-18,14.020000457763672
2016-10-19,14.010000228881836
2016-10-20,14.25
2016-10-21,14.149999618530273
2016-10-24,14.819999694824219
2016-10-25,14.380000114440918
2016-10-26,14.0
2016-10-27,13.930000305175781
2016-10-28,13.829999923706055
2016-10-31,14.319999694824219
