,FLUX
2020-08-14,4.199999809265137
2020-08-17,5.039999961853027
2020-08-18,4.199999809265137
2020-08-19,4.840000152587891
2020-08-20,5.349999904632568
2020-08-21,5.110000133514404
2020-08-24,4.929999828338623
2020-08-25,4.980000019073486
2020-08-26,5.050000190734863
2020-08-27,6.070000171661377
2020-08-28,5.699999809265137
2020-08-31,6.0
2020-09-01,5.869999885559082
2020-09-02,5.650000095367432
2020-09-03,5.260000228881836
2020-09-04,5.190000057220459
2020-09-08,5.309999942779541
2020-09-09,5.449999809265137
2020-09-10,5.309999942779541
2020-09-11,5.239999771118164
2020-09-14,5.420000076293945
2020-09-15,5.480000019073486
2020-09-16,5.820000171661377
2020-09-17,5.800000190734863
2020-09-18,6.28000020980835
2020-09-21,6.289999961853027
2020-09-22,6.0
2020-09-23,5.170000076293945
2020-09-24,5.659999847412109
2020-09-25,5.489999771118164
2020-09-28,5.400000095367432
2020-09-29,6.849999904632568
2020-09-30,6.699999809265137
2020-10-01,6.699999809265137
2020-10-02,7.300000190734863
2020-10-05,7.690000057220459
2020-10-06,7.769999980926514
2020-10-07,8.600000381469727
2020-10-08,8.149999618530273
2020-10-09,9.100000381469727
2020-10-12,10.319999694824219
2020-10-13,11.350000381469727
2020-10-14,12.09000015258789
2020-10-15,11.460000038146973
2020-10-16,10.430000305175781
2020-10-19,9.239999771118164
2020-10-20,8.90999984741211
2020-10-21,8.579999923706055
2020-10-22,8.399999618530273
2020-10-23,8.65999984741211
2020-10-26,8.140000343322754
2020-10-27,7.309999942779541
2020-10-28,7.119999885559082
2020-10-29,7.309999942779541
2020-10-30,6.670000076293945
2020-11-02,7.159999847412109
2020-11-03,7.849999904632568
2020-11-04,7.909999847412109
2020-11-05,9.029999732971191
2020-11-06,9.859999656677246
2020-11-09,8.529999732971191
2020-11-10,8.84000015258789
2020-11-11,8.949999809265137
2020-11-12,8.880000114440918
2020-11-13,8.40999984741211
2020-11-16,8.890000343322754
2020-11-17,8.5600004196167
2020-11-18,8.170000076293945
2020-11-19,9.779999732971191
2020-11-20,10.359999656677246
2020-11-23,11.100000381469727
2020-11-24,9.8100004196167
2020-11-25,10.180000305175781
2020-11-27,9.989999771118164
2020-11-30,9.539999961853027
2020-12-01,9.170000076293945
2020-12-02,9.180000305175781
2020-12-03,8.90999984741211
2020-12-04,9.680000305175781
2020-12-07,9.180000305175781
2020-12-08,10.149999618530273
2020-12-09,9.619999885559082
2020-12-10,11.100000381469727
2020-12-11,10.550000190734863
2020-12-14,10.800000190734863
2020-12-15,12.350000381469727
2020-12-16,11.779999732971191
2020-12-17,11.270000457763672
2020-12-18,13.039999961853027
2020-12-21,13.210000038146973
2020-12-22,12.970000267028809
2020-12-23,12.720000267028809
2020-12-24,12.800000190734863
2020-12-28,17.440000534057617
2020-12-29,17.8700008392334
2020-12-30,19.43000030517578
2020-12-31,17.239999771118164
2021-01-04,15.319999694824219
2021-01-05,15.289999961853027
2021-01-06,17.399999618530273
2021-01-07,19.0
2021-01-08,18.75
2021-01-11,17.670000076293945
2021-01-12,19.075000762939453
2021-01-13,20.0
2021-01-14,18.43000030517578
2021-01-15,17.399999618530273
2021-01-19,18.200000762939453
2021-01-20,18.219999313354492
2021-01-21,18.729999542236328
2021-01-22,17.68000030517578
2021-01-25,15.960000038146973
2021-01-26,17.149999618530273
2021-01-27,15.819999694824219
2021-01-28,15.470000267028809
2021-01-29,14.6899995803833
2021-02-01,14.779999732971191
2021-02-02,15.520000457763672
2021-02-03,15.539999961853027
2021-02-04,16.690000534057617
2021-02-05,16.809999465942383
2021-02-08,16.290000915527344
2021-02-09,16.170000076293945
2021-02-10,16.0
2021-02-11,16.75
2021-02-12,16.3799991607666
2021-02-16,16.670000076293945
2021-02-17,15.800000190734863
2021-02-18,15.260000228881836
2021-02-19,14.920000076293945
2021-02-22,13.649999618530273
2021-02-23,13.220000267028809
2021-02-24,13.270000457763672
2021-02-25,12.229999542236328
2021-02-26,12.880000114440918
2021-03-01,13.1899995803833
2021-03-02,12.829999923706055
2021-03-03,12.5600004196167
2021-03-04,10.760000228881836
2021-03-05,10.010000228881836
2021-03-08,9.619999885559082
2021-03-09,10.680000305175781
2021-03-10,11.199999809265137
2021-03-11,12.210000038146973
2021-03-12,11.569999694824219
2021-03-15,11.779999732971191
2021-03-16,10.970000267028809
2021-03-17,11.4399995803833
2021-03-18,11.670000076293945
2021-03-19,15.350000381469727
2021-03-22,13.09000015258789
2021-03-23,12.25
2021-03-24,11.40999984741211
2021-03-25,11.720000267028809
2021-03-26,12.100000381469727
2021-03-29,11.279999732971191
2021-03-30,11.859999656677246
2021-03-31,12.949999809265137
2021-04-01,13.3100004196167
2021-04-05,13.550000190734863
2021-04-06,13.329999923706055
2021-04-07,13.079999923706055
2021-04-08,12.710000038146973
2021-04-09,12.510000228881836
2021-04-12,11.9399995803833
2021-04-13,11.199999809265137
2021-04-14,11.6899995803833
2021-04-15,11.319999694824219
2021-04-16,11.079999923706055
2021-04-19,10.399999618530273
2021-04-20,9.90999984741211
2021-04-21,10.670000076293945
2021-04-22,11.050000190734863
2021-04-23,11.390000343322754
2021-04-26,11.59000015258789
2021-04-27,11.369999885559082
2021-04-28,11.600000381469727
2021-04-29,11.5600004196167
2021-04-30,11.029999732971191
2021-05-03,10.84000015258789
2021-05-04,10.229999542236328
2021-05-05,10.149999618530273
2021-05-06,9.300000190734863
2021-05-07,9.569999694824219
2021-05-10,8.720000267028809
2021-05-11,8.470000267028809
2021-05-12,7.690000057220459
