,FONR
1981-10-29,120.0
1981-10-30,142.5
1981-11-02,137.5
1981-11-03,150.0
1981-11-04,155.0
1981-11-05,180.0
1981-11-06,190.0
1981-11-09,200.0
1981-11-10,212.5
1981-11-11,222.5
1981-11-12,222.5
1981-11-13,222.5
1981-11-16,220.0
1981-11-17,232.5
1981-11-18,250.0
1981-11-19,257.5
1981-11-20,270.0
1981-11-23,272.5
1981-11-24,257.5
1981-11-25,265.0
1981-11-27,255.0
1981-11-30,210.0
1981-12-01,217.5
1981-12-02,225.0
1981-12-03,222.5
1981-12-04,210.0
1981-12-07,185.0
1981-12-08,200.0
1981-12-09,200.0
1981-12-10,200.0
1981-12-11,200.0
1981-12-14,187.5
1981-12-15,187.5
1981-12-16,200.0
1981-12-17,200.0
1981-12-18,200.0
1981-12-21,217.5
1981-12-22,220.0
1981-12-23,222.5
1981-12-24,222.5
1981-12-28,222.5
1981-12-29,222.5
1981-12-30,217.5
1981-12-31,217.5
1982-01-04,215.0
1982-01-05,212.5
1982-01-06,202.5
1982-01-07,202.5
1982-01-08,205.0
1982-01-11,205.0
1982-01-12,187.5
1982-01-13,172.5
1982-01-14,172.5
1982-01-15,177.5
1982-01-18,175.0
1982-01-19,172.5
1982-01-20,175.0
1982-01-21,177.5
1982-01-22,177.5
1982-01-25,172.5
1982-01-26,162.5
1982-01-27,160.0
1982-01-28,165.0
1982-01-29,165.0
1982-02-01,147.5
1982-02-02,120.0
1982-02-03,135.0
1982-02-04,130.0
1982-02-05,130.0
1982-02-08,127.5
1982-02-09,125.0
1982-02-10,127.5
1982-02-11,127.5
1982-02-12,130.0
1982-02-16,120.0
1982-02-17,107.5
1982-02-18,100.0
1982-02-19,105.0
1982-02-22,115.0
1982-02-23,115.0
1982-02-24,115.0
1982-02-25,120.0
1982-02-26,140.0
1982-03-01,142.5
1982-03-02,147.5
1982-03-03,130.0
1982-03-04,127.5
1982-03-05,120.0
1982-03-08,120.0
1982-03-09,112.5
1982-03-10,112.5
1982-03-11,112.5
1982-03-12,110.0
1982-03-15,102.5
1982-03-16,102.5
1982-03-17,102.5
1982-03-18,97.5
1982-03-19,97.5
1982-03-22,97.5
1982-03-23,97.5
1982-03-24,92.5
1982-03-25,85.0
1982-03-26,85.0
1982-03-29,85.0
1982-03-30,80.0
1982-03-31,75.0
1982-04-01,95.0
1982-04-02,110.0
1982-04-05,115.0
1982-04-06,110.0
1982-04-07,110.0
1982-04-08,110.0
1982-04-12,97.5
1982-04-13,102.5
1982-04-14,102.5
1982-04-15,100.0
1982-04-16,100.0
1982-04-19,100.0
1982-04-20,115.0
1982-04-21,127.5
1982-04-22,140.0
1982-04-23,147.5
1982-04-26,145.0
1982-04-27,135.0
1982-04-28,142.5
1982-04-29,145.0
1982-04-30,137.5
1982-05-03,140.0
1982-05-04,140.0
1982-05-05,130.0
1982-05-06,140.0
1982-05-07,135.0
1982-05-10,137.5
1982-05-11,132.5
1982-05-12,130.0
1982-05-13,132.5
1982-05-14,130.0
1982-05-17,125.0
1982-05-18,120.0
1982-05-19,117.5
1982-05-20,115.0
1982-05-21,100.0
1982-05-24,107.5
1982-05-25,115.0
1982-05-26,115.0
