,FORM
2003-06-12,17.579999923706055
2003-06-13,16.649999618530273
2003-06-16,17.1200008392334
2003-06-17,17.200000762939453
2003-06-18,18.0
2003-06-19,17.270000457763672
2003-06-20,17.700000762939453
2003-06-23,17.0
2003-06-24,16.709999084472656
2003-06-25,17.360000610351562
2003-06-26,17.149999618530273
2003-06-27,17.450000762939453
2003-06-30,17.700000762939453
2003-07-01,17.950000762939453
2003-07-02,18.420000076293945
2003-07-03,18.149999618530273
2003-07-07,18.229999542236328
2003-07-08,18.809999465942383
2003-07-09,18.959999084472656
2003-07-10,19.5
2003-07-11,19.350000381469727
2003-07-14,19.25
2003-07-15,18.450000762939453
2003-07-16,18.25
2003-07-17,17.729999542236328
2003-07-18,17.399999618530273
2003-07-21,17.610000610351562
2003-07-22,18.09000015258789
2003-07-23,18.799999237060547
2003-07-24,18.719999313354492
2003-07-25,18.739999771118164
2003-07-28,18.700000762939453
2003-07-29,18.549999237060547
2003-07-30,18.59000015258789
2003-07-31,18.639999389648438
2003-08-01,18.549999237060547
2003-08-04,18.6200008392334
2003-08-05,18.56999969482422
2003-08-06,18.690000534057617
2003-08-07,19.34000015258789
2003-08-08,19.420000076293945
2003-08-11,19.399999618530273
2003-08-12,19.43000030517578
2003-08-13,19.649999618530273
2003-08-14,19.5
2003-08-15,19.739999771118164
2003-08-18,19.389999389648438
2003-08-19,19.739999771118164
2003-08-20,19.670000076293945
2003-08-21,19.950000762939453
2003-08-22,19.969999313354492
2003-08-25,19.299999237060547
2003-08-26,19.25
2003-08-27,19.5
2003-08-28,19.809999465942383
2003-08-29,19.59000015258789
2003-09-02,19.43000030517578
2003-09-03,19.0
2003-09-04,19.15999984741211
2003-09-05,19.75
2003-09-08,21.899999618530273
2003-09-09,22.399999618530273
2003-09-10,21.8700008392334
2003-09-11,22.489999771118164
2003-09-12,22.600000381469727
2003-09-15,21.84000015258789
2003-09-16,23.0
2003-09-17,22.90999984741211
2003-09-18,21.75
2003-09-19,22.25
2003-09-22,22.5
2003-09-23,21.899999618530273
2003-09-24,22.559999465942383
2003-09-25,21.799999237060547
2003-09-26,20.200000762939453
2003-09-29,21.25
2003-09-30,21.59000015258789
2003-10-01,22.350000381469727
2003-10-02,22.639999389648438
2003-10-03,23.049999237060547
2003-10-06,24.200000762939453
2003-10-07,25.420000076293945
2003-10-08,25.360000610351562
2003-10-09,25.459999084472656
2003-10-10,25.450000762939453
2003-10-13,26.920000076293945
2003-10-14,26.780000686645508
2003-10-15,26.06999969482422
2003-10-16,27.43000030517578
2003-10-17,25.469999313354492
2003-10-20,24.600000381469727
2003-10-21,24.200000762939453
2003-10-22,23.790000915527344
2003-10-23,23.549999237060547
2003-10-24,23.0
2003-10-27,21.950000762939453
2003-10-28,24.799999237060547
2003-10-29,24.579999923706055
2003-10-30,24.969999313354492
2003-10-31,24.93000030517578
2003-11-03,25.3700008392334
2003-11-04,26.700000762939453
2003-11-05,26.239999771118164
2003-11-06,26.0
2003-11-07,26.399999618530273
2003-11-10,26.389999389648438
2003-11-11,26.0
2003-11-12,27.690000534057617
2003-11-13,27.149999618530273
2003-11-14,26.09000015258789
2003-11-17,25.760000228881836
2003-11-18,25.329999923706055
2003-11-19,25.020000457763672
2003-11-20,25.350000381469727
2003-11-21,25.309999465942383
2003-11-24,25.270000457763672
2003-11-25,25.40999984741211
2003-11-26,25.75
2003-11-28,25.5
2003-12-01,25.829999923706055
