,FRGAP
2020-09-21,24.75
2020-09-22,24.8700008392334
2020-09-23,24.739999771118164
2020-09-24,24.700000762939453
2020-09-25,24.799999237060547
2020-09-28,24.790000915527344
2020-09-29,24.899999618530273
2020-09-30,24.90999984741211
2020-10-01,24.899999618530273
2020-10-02,24.850000381469727
2020-10-05,24.989999771118164
2020-10-06,24.8700008392334
2020-10-07,24.959999084472656
2020-10-08,25.0
2020-10-09,25.030000686645508
2020-10-12,24.979999542236328
2020-10-13,24.979999542236328
2020-10-14,24.979999542236328
2020-10-15,25.0
2020-10-16,24.979999542236328
2020-10-19,24.950000762939453
2020-10-20,25.0
2020-10-21,24.940000534057617
2020-10-22,24.979999542236328
2020-10-23,25.0
2020-10-26,24.989999771118164
2020-10-27,24.950000762939453
2020-10-28,24.68000030517578
2020-10-29,24.8799991607666
2020-10-30,24.760000228881836
2020-11-02,24.770000457763672
2020-11-03,24.81999969482422
2020-11-04,24.81999969482422
2020-11-05,24.899999618530273
2020-11-06,24.820999145507812
2020-11-09,24.950000762939453
2020-11-10,24.950000762939453
2020-11-11,24.93000030517578
2020-11-12,24.899999618530273
2020-11-13,25.170000076293945
2020-11-16,25.197999954223633
2020-11-17,25.09000015258789
2020-11-18,25.06999969482422
2020-11-19,25.229999542236328
2020-11-20,25.190000534057617
2020-11-23,25.399999618530273
2020-11-24,25.450000762939453
2020-11-25,25.690000534057617
2020-11-27,25.424999237060547
2020-11-30,25.4950008392334
2020-12-01,25.450000762939453
2020-12-02,25.450000762939453
2020-12-03,25.409000396728516
2020-12-04,25.649999618530273
2020-12-07,25.690000534057617
2020-12-08,25.989999771118164
2020-12-09,26.0
2020-12-10,26.0
2020-12-11,25.93400001525879
2020-12-14,26.0
2020-12-15,26.158000946044922
2020-12-16,26.100000381469727
2020-12-17,26.010000228881836
2020-12-18,25.950000762939453
2020-12-21,25.950000762939453
2020-12-22,25.75
2020-12-23,25.950000762939453
2020-12-24,25.950000762939453
2020-12-28,25.989999771118164
2020-12-29,26.0
2020-12-30,25.559999465942383
2020-12-31,25.68000030517578
2021-01-04,25.479999542236328
2021-01-05,25.799999237060547
2021-01-06,25.690000534057617
2021-01-07,26.0
2021-01-08,25.700000762939453
2021-01-11,25.25
2021-01-12,24.540000915527344
2021-01-13,24.559999465942383
2021-01-14,24.690000534057617
2021-01-15,24.68000030517578
2021-01-19,24.84000015258789
2021-01-20,24.799999237060547
2021-01-21,24.68000030517578
2021-01-22,24.889999389648438
2021-01-25,24.959999084472656
2021-01-26,25.040000915527344
2021-01-27,25.049999237060547
2021-01-28,25.100000381469727
2021-01-29,25.079999923706055
2021-02-01,25.190000534057617
2021-02-02,25.15999984741211
2021-02-03,25.190000534057617
2021-02-04,25.209999084472656
2021-02-05,25.219999313354492
2021-02-08,25.219999313354492
2021-02-09,25.1299991607666
2021-02-10,25.280000686645508
2021-02-11,25.149999618530273
2021-02-12,25.239999771118164
2021-02-16,25.329999923706055
2021-02-17,25.309999465942383
2021-02-18,25.280000686645508
2021-02-19,25.229999542236328
2021-02-22,25.260000228881836
2021-02-23,25.198999404907227
2021-02-24,25.31999969482422
2021-02-25,25.17099952697754
2021-02-26,25.299999237060547
2021-03-01,25.209999084472656
2021-03-02,25.18000030517578
2021-03-03,25.399999618530273
2021-03-04,25.25
2021-03-05,25.354000091552734
2021-03-08,25.299999237060547
2021-03-09,25.31999969482422
2021-03-10,25.309999465942383
2021-03-11,25.399999618530273
2021-03-12,25.399999618530273
2021-03-15,25.450000762939453
2021-03-16,25.41699981689453
2021-03-17,25.3700008392334
2021-03-18,25.280000686645508
2021-03-19,25.450000762939453
2021-03-22,25.399999618530273
2021-03-23,25.367000579833984
2021-03-24,25.43000030517578
2021-03-25,25.5
2021-03-26,25.450000762939453
2021-03-29,25.6299991607666
2021-03-30,25.270000457763672
2021-03-31,25.34000015258789
2021-04-01,25.40999984741211
2021-04-05,25.350000381469727
2021-04-06,25.43000030517578
2021-04-07,25.299999237060547
2021-04-08,25.200000762939453
2021-04-09,25.149999618530273
2021-04-12,25.200000762939453
2021-04-13,25.209999084472656
2021-04-14,25.15999984741211
2021-04-15,25.200000762939453
2021-04-16,25.200000762939453
2021-04-19,25.1200008392334
2021-04-20,25.190000534057617
2021-04-21,25.200000762939453
2021-04-22,25.190000534057617
2021-04-23,25.190000534057617
2021-04-26,25.190000534057617
2021-04-27,25.200000762939453
2021-04-28,25.18000030517578
2021-04-29,25.25
2021-04-30,25.34000015258789
2021-05-03,25.229999542236328
2021-05-04,25.184999465942383
2021-05-05,25.360000610351562
2021-05-06,25.31999969482422
2021-05-07,25.399999618530273
2021-05-10,25.43000030517578
2021-05-11,25.375
2021-05-12,25.270000457763672
2021-05-13,25.360000610351562
2021-05-14,25.350000381469727
