,JET
2011-12-09,6.300000190734863
2011-12-12,5.699999809265137
2011-12-13,5.550000190734863
2011-12-14,6.300000190734863
2011-12-15,5.925000190734863
2011-12-16,5.699999809265137
2011-12-19,5.625
2011-12-20,6.150000095367432
2011-12-21,5.849999904632568
2011-12-22,5.699999809265137
2011-12-23,5.625
2011-12-27,5.625
2011-12-28,5.474999904632568
2011-12-29,5.324999809265137
2011-12-30,5.25
2012-01-03,5.699999809265137
2012-01-04,5.324999809265137
2012-01-05,5.400000095367432
2012-01-06,5.400000095367432
2012-01-09,5.550000190734863
2012-01-10,5.849999904632568
2012-01-11,6.150000095367432
2012-01-12,6.224999904632568
2012-01-13,5.849999904632568
2012-01-17,6.300000190734863
2012-01-18,6.300000190734863
2012-01-19,6.974999904632568
2012-01-20,6.449999809265137
2012-01-23,6.599999904632568
2012-01-24,6.599999904632568
2012-01-25,7.125
2012-01-26,7.5
2012-01-27,8.100000381469727
2012-01-30,7.949999809265137
2012-01-31,7.949999809265137
2012-02-01,8.100000381469727
2012-02-02,8.100000381469727
2012-02-03,7.800000190734863
2012-02-06,7.949999809265137
2012-02-07,7.949999809265137
2012-02-08,8.100000381469727
2012-02-09,9.149999618530273
2012-02-10,9.149999618530273
2012-02-13,9.300000190734863
2012-02-14,9.149999618530273
2012-02-15,9.149999618530273
2012-02-16,9.449999809265137
2012-02-17,9.600000381469727
2012-02-21,9.300000190734863
2012-02-22,9.600000381469727
2012-02-23,9.899999618530273
2012-02-24,9.899999618530273
2012-02-27,10.050000190734863
2012-02-28,10.050000190734863
2012-02-29,9.899999618530273
2012-03-01,9.449999809265137
2012-03-02,8.699999809265137
2012-03-05,7.800000190734863
2012-03-06,7.949999809265137
2012-03-07,7.800000190734863
2012-03-08,7.949999809265137
2012-03-09,7.800000190734863
2012-03-12,7.949999809265137
2012-03-13,8.100000381469727
2012-03-14,7.5
2012-03-15,7.800000190734863
2012-03-16,7.5
2012-03-19,7.800000190734863
2012-03-20,7.650000095367432
2012-03-21,7.800000190734863
2012-03-22,7.5
2012-03-23,7.650000095367432
2012-03-26,7.650000095367432
2012-03-27,7.800000190734863
2012-03-28,7.650000095367432
2012-03-29,7.650000095367432
2012-03-30,7.5
2012-04-02,6.599999904632568
2012-04-03,6.75
2012-04-04,6.300000190734863
2012-04-05,6.300000190734863
2012-04-09,6.0
2012-04-10,6.0
2012-04-11,6.300000190734863
2012-04-12,6.074999809265137
2012-04-13,6.300000190734863
2012-04-16,6.449999809265137
2012-04-17,6.900000095367432
2012-04-18,6.449999809265137
2012-04-19,6.449999809265137
2012-04-20,6.150000095367432
2012-04-23,5.699999809265137
2012-04-24,5.849999904632568
2012-04-25,6.0
2012-04-26,6.0
