,LXI
2014-07-21,64.09600067138672
2014-07-22,64.82599639892578
2014-07-23,66.00700378417969
2014-07-24,67.61100006103516
2014-07-25,66.79399871826172
2014-07-28,66.6449966430664
2014-07-29,65.80799865722656
2014-07-30,65.48899841308594
2014-07-31,64.8270034790039
2014-08-01,63.78499984741211
2014-08-04,63.6510009765625
2014-08-05,63.08000183105469
2014-08-06,63.124000549316406
2014-08-07,62.77199935913086
2014-08-08,62.09400177001953
2014-08-11,63.54199981689453
2014-08-12,63.57600021362305
2014-08-13,62.986000061035156
2014-08-14,63.34400177001953
2014-08-15,63.15700149536133
2014-08-18,62.941001892089844
2014-08-19,63.6150016784668
2014-08-20,63.849998474121094
2014-08-21,64.1050033569336
2014-08-22,63.35200119018555
2014-08-25,64.0999984741211
2014-08-26,63.869998931884766
2014-08-27,63.737998962402344
2014-08-28,63.48699951171875
2014-08-29,63.016998291015625
2014-09-02,64.00399780273438
2014-09-03,63.78799819946289
2014-09-04,63.51499938964844
2014-09-05,64.12200164794922
2014-09-08,63.80400085449219
2014-09-09,64.1520004272461
2014-09-10,63.152000427246094
2014-09-11,63.37099838256836
2014-09-12,62.986000061035156
2014-09-15,61.98899841308594
2014-09-16,61.779998779296875
2014-09-17,62.45100021362305
2014-09-18,63.4370002746582
2014-09-19,62.42900085449219
2014-09-22,61.625
2014-09-23,61.22999954223633
2014-09-24,60.88999938964844
2014-09-25,61.1609992980957
2014-09-26,61.19300079345703
2014-09-29,61.244998931884766
2014-09-30,61.1619987487793
2014-10-01,60.70600128173828
2014-10-02,59.803001403808594
2014-10-03,59.803001403808594
2014-10-06,61.80400085449219
2014-10-07,
2014-10-08,
2014-10-09,60.41400146484375
2014-10-10,
2014-10-13,
2014-10-14,58.08599853515625
2014-10-15,
2014-10-16,
2014-10-17,59.57699966430664
2014-10-20,60.10300064086914
2014-10-21,65.33100128173828
2014-10-22,67.9209976196289
2014-10-23,69.16000366210938
2014-10-24,69.08200073242188
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,73.43199920654297
2014-11-10,72.84700012207031
2014-11-11,73.65799713134766
2014-11-12,73.02999877929688
2014-11-13,73.51000213623047
2014-11-14,73.4739990234375
2014-11-17,72.95099639892578
2014-11-18,73.20800018310547
2014-11-19,72.89199829101562
2014-11-20,73.18199920654297
2014-11-21,74.05000305175781
2014-11-24,75.37799835205078
2014-11-25,75.74700164794922
2014-11-26,75.83699798583984
2014-11-28,75.39700317382812
2014-12-01,74.81099700927734
2014-12-02,74.16400146484375
2014-12-03,75.53600311279297
2014-12-04,76.875
2014-12-05,76.48500061035156
2014-12-08,77.4749984741211
2014-12-09,76.427001953125
2014-12-10,76.572998046875
2014-12-11,74.79100036621094
2014-12-12,74.54299926757812
2014-12-15,74.43099975585938
2014-12-16,74.39399719238281
2014-12-17,74.12000274658203
2014-12-18,76.50800323486328
2014-12-19,77.61900329589844
2014-12-22,78.33000183105469
2014-12-23,78.10199737548828
2014-12-24,78.10199737548828
2014-12-26,78.10199737548828
2014-12-29,78.51499938964844
2014-12-30,78.63200378417969
2014-12-31,78.63200378417969
2015-01-02,79.32599639892578
2015-01-05,78.86000061035156
2015-01-06,78.70999908447266
2015-01-07,79.2959976196289
2015-01-08,80.60299682617188
2015-01-09,81.39800262451172
2015-01-12,80.70600128173828
2015-01-13,81.56099700927734
2015-01-14,80.8499984741211
2015-01-15,82.84500122070312
2015-01-16,80.83999633789062
2015-01-20,81.7760009765625
2015-01-21,82.47100067138672
2015-01-22,83.64800262451172
2015-01-23,86.46099853515625
2015-01-26,87.33699798583984
2015-01-27,88.62100219726562
2015-01-28,87.61900329589844
2015-01-29,88.06700134277344
2015-01-30,87.57099914550781
2015-02-02,88.20999908447266
2015-02-03,88.13500213623047
2015-02-04,87.89600372314453
2015-02-05,88.67900085449219
2015-02-06,87.87999725341797
2015-02-09,88.802001953125
2015-02-10,88.77300262451172
2015-02-11,89.53299713134766
2015-02-12,89.80000305175781
2015-02-13,90.26100158691406
2015-02-17,91.26899719238281
2015-02-18,92.25399780273438
2015-02-19,92.01899719238281
2015-02-20,93.26200103759766
2015-02-23,93.5479965209961
2015-02-24,93.69000244140625
2015-02-25,92.97200012207031
2015-02-26,92.08100128173828
2015-02-27,92.7020034790039
2015-03-02,93.20899963378906
2015-03-03,95.4489974975586
2015-03-04,95.62100219726562
2015-03-05,97.09100341796875
2015-03-06,97.25599670410156
2015-03-09,97.88700103759766
2015-03-10,98.63999938964844
2015-03-11,100.2239990234375
2015-03-12,102.43699645996094
2015-03-13,102.9020004272461
2015-03-16,102.83300018310547
2015-03-17,102.18800354003906
2015-03-18,101.76599884033203
2015-03-19,101.16400146484375
2015-03-20,102.5
2015-03-23,101.72200012207031
2015-03-24,100.58000183105469
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-04,95.97000122070312
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,102.62200164794922
2015-05-21,
2015-05-22,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-06,96.51599884033203
2015-07-07,98.40599822998047
2015-07-08,98.3239974975586
2015-07-09,97.48400115966797
2015-07-10,97.9209976196289
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,103.26899719238281
2015-10-19,103.1259994506836
2015-10-20,109.71600341796875
2015-10-21,110.53099822998047
2015-10-22,112.41600036621094
2015-10-23,
2015-10-26,
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-09,
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-16,123.61599731445312
2015-11-17,126.5510025024414
2015-11-18,
2015-11-19,
2015-11-20,
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-27,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,127.80000305175781
2015-12-04,122.11499786376953
2015-12-07,125.18900299072266
2015-12-08,126.19000244140625
2015-12-09,
2015-12-10,121.79900360107422
2015-12-11,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,
2015-12-28,
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-19,
2016-01-20,
2016-01-21,106.98899841308594
2016-01-22,
2016-01-25,
2016-01-26,107.66699981689453
2016-01-27,
2016-01-28,107.81099700927734
2016-01-29,108.09700012207031
2016-02-01,110.19999694824219
2016-02-02,108.4280014038086
2016-02-03,104.86299896240234
2016-02-04,
2016-02-05,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,118.7040023803711
2016-03-04,
2016-03-07,117.21700286865234
2016-03-08,116.3740005493164
2016-03-09,117.10099792480469
2016-03-10,
2016-03-11,116.48100280761719
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-18,
2016-04-19,
2016-04-20,
2016-04-21,
2016-04-22,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-05-02,
2016-05-03,
2016-05-04,116.38200378417969
2016-05-05,117.56600189208984
2016-05-06,118.43699645996094
2016-05-09,119.84300231933594
2016-05-10,120.4280014038086
2016-05-11,121.46900177001953
2016-05-12,119.54000091552734
2016-05-13,121.00599670410156
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,121.4749984741211
2016-05-27,121.75800323486328
2016-05-31,122.86100006103516
2016-06-01,123.14299774169922
2016-06-02,122.66899871826172
2016-06-03,120.69000244140625
2016-06-06,121.177001953125
2016-06-07,121.51300048828125
2016-06-08,122.21499633789062
2016-06-09,123.38400268554688
2016-06-10,124.18000030517578
2016-06-13,122.5459976196289
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,
2016-06-20,
2016-06-21,
2016-06-22,
2016-06-23,
2016-06-24,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
