,MTO
2000-07-05,40.79999923706055
2000-07-06,39.599998474121094
2000-07-07,39.599998474121094
2000-07-10,41.81999969482422
2000-07-11,42.900001525878906
2000-07-12,44.36000061035156
2000-07-13,45.5
2000-07-14,45.0
2000-07-17,45.029998779296875
2000-07-18,44.29999923706055
2000-07-19,44.06999969482422
2000-07-20,42.4900016784668
2000-07-21,44.0
2000-07-24,44.0
2000-07-25,44.40999984741211
2000-07-26,43.43000030517578
2000-07-27,43.43000030517578
2000-07-28,42.400001525878906
2000-07-31,42.36000061035156
2000-08-01,43.70000076293945
2000-08-02,44.0099983215332
2000-08-03,44.20000076293945
2000-08-04,46.20000076293945
2000-08-07,48.20000076293945
2000-08-08,47.2599983215332
2000-08-09,47.2599983215332
2000-08-10,47.56999969482422
2000-08-11,48.0
2000-08-14,50.630001068115234
2000-08-15,50.099998474121094
2000-08-16,49.5
2000-08-17,49.619998931884766
2000-08-18,50.02000045776367
2000-08-21,49.29999923706055
2000-08-22,49.599998474121094
2000-08-23,52.2599983215332
2000-08-24,50.119998931884766
2000-08-25,51.5099983215332
2000-08-28,51.79999923706055
2000-08-29,51.70000076293945
2000-08-30,50.5
2000-08-31,51.5
2000-09-01,54.0
2000-09-05,53.900001525878906
2000-09-06,53.0
2000-09-07,53.0
2000-09-08,53.47999954223633
2000-09-11,52.72999954223633
2000-09-12,54.720001220703125
2000-09-13,53.33000183105469
2000-09-14,53.9900016784668
2000-09-15,52.959999084472656
2000-09-18,52.79999923706055
2000-09-19,53.099998474121094
2000-09-20,54.029998779296875
2000-09-21,54.540000915527344
2000-09-22,53.630001068115234
2000-09-25,52.40999984741211
2000-09-26,52.150001525878906
2000-09-27,50.439998626708984
2000-09-28,49.400001525878906
2000-09-29,50.810001373291016
2000-10-02,49.939998626708984
2000-10-03,49.939998626708984
2000-10-04,48.779998779296875
2000-10-05,49.290000915527344
2000-10-06,48.779998779296875
2000-10-09,50.0
2000-10-10,51.119998931884766
2000-10-11,54.0
2000-10-12,55.08000183105469
2000-10-13,51.15999984741211
2000-10-16,48.15999984741211
2000-10-17,50.709999084472656
2000-10-18,50.88999938964844
2000-10-19,55.099998474121094
2000-10-20,55.529998779296875
2000-10-23,53.0
2000-10-24,54.25
2000-10-25,53.47999954223633
2000-10-26,52.869998931884766
2000-10-27,54.380001068115234
2000-10-30,52.43000030517578
2000-10-31,52.43000030517578
2000-11-01,54.689998626708984
2000-11-02,54.060001373291016
2000-11-03,54.9900016784668
2000-11-06,57.939998626708984
2000-11-07,57.77000045776367
2000-11-08,57.810001373291016
2000-11-09,57.22999954223633
2000-11-10,56.5
2000-11-13,54.720001220703125
2000-11-14,54.91999816894531
2000-11-15,56.68000030517578
2000-11-16,58.540000915527344
2000-11-17,58.54999923706055
2000-11-20,59.86000061035156
2000-11-21,56.11000061035156
2000-11-22,56.810001373291016
2000-11-24,56.380001068115234
2000-11-27,59.29999923706055
2000-11-28,58.709999084472656
2000-11-29,56.709999084472656
2000-11-30,56.38999938964844
2000-12-01,53.439998626708984
2000-12-04,52.5
2000-12-05,53.08000183105469
2000-12-06,56.5
2000-12-07,55.5
2000-12-08,54.279998779296875
2000-12-11,55.40999984741211
2000-12-12,53.970001220703125
2000-12-13,53.33000183105469
2000-12-14,52.439998626708984
2000-12-15,51.130001068115234
2000-12-18,52.63999938964844
2000-12-19,53.83000183105469
2000-12-20,53.7599983215332
2000-12-21,53.209999084472656
2000-12-22,52.90999984741211
2000-12-26,
2000-12-27,54.83000183105469
2000-12-28,58.150001525878906
2000-12-29,59.0
2001-01-02,57.38999938964844
2001-01-03,54.790000915527344
2001-01-04,55.5
2001-01-05,54.439998626708984
2001-01-08,54.20000076293945
2001-01-09,53.689998626708984
2001-01-10,53.61000061035156
2001-01-11,53.0
2001-01-12,55.0
2001-01-16,54.63999938964844
2001-01-17,53.5
2001-01-18,50.18000030517578
2001-01-19,51.220001220703125
2001-01-22,52.15999984741211
2001-01-23,52.119998931884766
2001-01-24,
2001-01-25,56.029998779296875
2001-01-26,
2001-01-29,54.20000076293945
2001-01-30,56.470001220703125
2001-01-31,56.099998474121094
2001-02-01,55.20000076293945
2001-02-02,56.33000183105469
2001-02-05,55.43000030517578
2001-02-06,54.880001068115234
2001-02-07,54.41999816894531
2001-02-08,54.040000915527344
2001-02-09,55.11000061035156
2001-02-12,53.13999938964844
2001-02-13,51.810001373291016
2001-02-14,53.81999969482422
2001-02-15,55.599998474121094
2001-02-16,54.72999954223633
2001-02-20,54.619998931884766
2001-02-21,54.599998474121094
2001-02-22,53.599998474121094
2001-02-23,51.70000076293945
2001-02-26,51.400001525878906
2001-02-27,48.70000076293945
2001-02-28,47.400001525878906
2001-03-01,48.29999923706055
2001-03-02,48.0
2001-03-05,48.79999923706055
2001-03-06,51.0
2001-03-07,50.70000076293945
2001-03-08,50.70000076293945
2001-03-09,50.0
2001-03-12,49.150001525878906
2001-03-13,46.5
2001-03-14,
2001-03-15,47.29999923706055
2001-03-16,49.0
2001-03-19,47.0
2001-03-20,46.29999923706055
2001-03-21,46.5
2001-03-22,46.5
2001-03-23,42.20000076293945
2001-03-26,44.61000061035156
2001-03-27,44.7599983215332
2001-03-28,45.869998931884766
2001-03-29,48.31999969482422
2001-03-30,46.02000045776367
2001-04-02,47.060001373291016
2001-04-03,45.2400016784668
2001-04-04,45.09000015258789
2001-04-05,45.33000183105469
2001-04-06,48.209999084472656
2001-04-09,45.79999923706055
2001-04-10,48.40999984741211
2001-04-11,46.0
2001-04-12,43.86000061035156
2001-04-16,
2001-04-17,44.22999954223633
2001-04-18,46.38999938964844
2001-04-19,48.63999938964844
2001-04-20,48.540000915527344
2001-04-23,47.09000015258789
2001-04-24,45.849998474121094
2001-04-25,45.400001525878906
2001-04-26,48.22999954223633
2001-04-27,47.88999938964844
2001-04-30,50.099998474121094
2001-05-01,
2001-05-02,49.130001068115234
2001-05-03,50.369998931884766
2001-05-04,50.70000076293945
2001-05-07,
2001-05-08,52.849998474121094
2001-05-09,52.400001525878906
2001-05-10,52.4900016784668
2001-05-11,
2001-05-14,52.20000076293945
2001-05-15,52.2400016784668
2001-05-16,52.0
2001-05-17,52.560001373291016
2001-05-18,53.77000045776367
2001-05-21,56.93000030517578
