,SDP
2007-03-14,1563.8399658203125
2007-03-15,1522.0799560546875
2007-03-16,1536.0
2007-03-19,1518.0
2007-03-20,1473.5999755859375
2007-03-21,1434.719970703125
2007-03-22,1435.9200439453125
2007-03-23,1419.3599853515625
2007-03-26,1412.4000244140625
2007-03-27,1415.52001953125
2007-03-28,1414.56005859375
2007-03-29,1404.9599609375
2007-03-30,1424.8800048828125
2007-04-02,1372.56005859375
2007-04-03,1369.199951171875
2007-04-04,1382.4000244140625
2007-04-05,1371.3599853515625
2007-04-09,1352.4000244140625
2007-04-10,1341.8399658203125
2007-04-11,1354.0799560546875
2007-04-12,1370.1600341796875
2007-04-13,1370.1600341796875
2007-04-16,1347.5999755859375
2007-04-17,1332.719970703125
2007-04-18,1323.5999755859375
2007-04-19,1338.9599609375
2007-04-20,1320.0
2007-04-23,1304.6400146484375
2007-04-24,1288.800048828125
2007-04-25,1270.800048828125
2007-04-26,1284.0
2007-04-27,1298.8800048828125
2007-04-30,1321.43994140625
2007-05-01,1297.199951171875
2007-05-02,1284.9599609375
2007-05-03,1290.0
2007-05-04,1290.0
2007-05-07,1264.3199462890625
2007-05-08,1281.3599853515625
2007-05-09,1273.9200439453125
2007-05-10,1298.4000244140625
2007-05-11,1284.0
2007-05-14,1278.239990234375
2007-05-15,1273.9200439453125
2007-05-16,1262.8800048828125
2007-05-17,1270.0799560546875
2007-05-18,1254.719970703125
2007-05-21,1256.4000244140625
2007-05-22,1262.8800048828125
2007-05-23,1293.1199951171875
2007-05-24,1363.6800537109375
2007-05-25,1358.4000244140625
2007-05-29,1346.4000244140625
2007-05-30,1310.8800048828125
2007-05-31,1303.9200439453125
2007-06-01,1323.8399658203125
2007-06-04,1318.56005859375
2007-06-05,1359.8399658203125
2007-06-06,1401.5999755859375
2007-06-07,1487.0400390625
2007-06-08,1463.52001953125
2007-06-11,1439.760009765625
2007-06-12,1475.760009765625
2007-06-13,1418.4000244140625
2007-06-14,1414.56005859375
2007-06-15,1374.719970703125
2007-06-18,1388.6400146484375
2007-06-19,1398.9599609375
2007-06-20,1457.280029296875
2007-06-21,1440.47998046875
2007-06-22,1481.52001953125
2007-06-25,1476.0
2007-06-26,1484.4000244140625
2007-06-27,1440.9599609375
2007-06-28,1450.3199462890625
2007-06-29,1431.5999755859375
2007-07-02,1381.6800537109375
2007-07-03,1389.3599853515625
2007-07-05,1392.0
2007-07-06,1401.3599853515625
2007-07-09,1393.9200439453125
2007-07-10,1430.4000244140625
2007-07-11,1424.4000244140625
2007-07-12,1380.9599609375
2007-07-13,1339.43994140625
2007-07-16,1383.1199951171875
2007-07-17,1392.0
2007-07-18,1370.1600341796875
2007-07-19,1316.4000244140625
2007-07-20,1356.0
2007-07-23,1348.0799560546875
2007-07-24,1443.1199951171875
2007-07-25,1430.6400146484375
2007-07-26,1513.6800537109375
2007-07-27,1562.4000244140625
2007-07-30,1536.0
2007-07-31,1549.43994140625
2007-08-01,1482.0
2007-08-02,1449.5999755859375
2007-08-03,1562.4000244140625
2007-08-06,1472.4000244140625
2007-08-07,1411.43994140625
2007-08-08,1397.52001953125
2007-08-09,1449.5999755859375
2007-08-10,1461.3599853515625
2007-08-13,1464.9599609375
2007-08-14,1515.3599853515625
2007-08-15,1564.800048828125
2007-08-16,1560.0
2007-08-17,1495.6800537109375
2007-08-20,1500.47998046875
2007-08-21,1488.47998046875
2007-08-22,1461.1199951171875
2007-08-23,1446.0
2007-08-24,1430.4000244140625
2007-08-27,1512.0
2007-08-28,1549.199951171875
2007-08-29,1476.9599609375
2007-08-30,1500.0
2007-08-31,1482.47998046875
2007-09-04,1433.760009765625
2007-09-05,1463.760009765625
2007-09-06,1435.9200439453125
2007-09-07,1481.280029296875
2007-09-10,1471.6800537109375
2007-09-11,1448.4000244140625
2007-09-12,1432.3199462890625
2007-09-13,1436.4000244140625
2007-09-14,1419.1199951171875
2007-09-17,1450.0799560546875
2007-09-18,1385.52001953125
2007-09-19,1344.9599609375
2007-09-20,1365.5999755859375
2007-09-21,1358.4000244140625
2007-09-24,1357.43994140625
2007-09-25,1340.8800048828125
2007-09-26,1318.56005859375
2007-09-27,1334.4000244140625
2007-09-28,1364.8800048828125
2007-10-01,1326.0
2007-10-02,1326.0
2007-10-03,1331.760009765625
2007-10-04,1314.47998046875
2007-10-05,1297.199951171875
2007-10-08,1307.52001953125
2007-10-09,1272.719970703125
2007-10-10,1287.5999755859375
2007-10-11,1279.6800537109375
2007-10-12,1270.800048828125
2007-10-15,1308.239990234375
2007-10-16,1304.1600341796875
2007-10-17,1320.9599609375
2007-10-18,1315.43994140625
2007-10-19,1372.800048828125
2007-10-22,1358.8800048828125
2007-10-23,1371.5999755859375
2007-10-24,1344.9599609375
2007-10-25,1299.5999755859375
2007-10-26,1260.719970703125
2007-10-29,1246.800048828125
2007-10-30,1236.239990234375
2007-10-31,1215.1199951171875
2007-11-01,1262.6400146484375
2007-11-02,1243.199951171875
2007-11-05,1220.8800048828125
2007-11-06,1222.3199462890625
2007-11-07,1271.760009765625
2007-11-08,1233.8399658203125
2007-11-09,1256.6400146484375
2007-11-12,1301.0400390625
2007-11-13,1277.760009765625
2007-11-14,1277.0400390625
2007-11-15,1282.0799560546875
2007-11-16,1291.199951171875
2007-11-19,1268.8800048828125
2007-11-20,1232.4000244140625
2007-11-21,1266.0
2007-11-23,1263.5999755859375
2007-11-26,1280.4000244140625
2007-11-27,1264.3199462890625
2007-11-28,1231.199951171875
2007-11-29,1231.9200439453125
2007-11-30,1224.9599609375
2007-12-03,1210.56005859375
2007-12-04,1193.0400390625
2007-12-05,1153.43994140625
2007-12-06,1152.47998046875
2007-12-07,1154.6400146484375
2007-12-10,1148.1600341796875
2007-12-11,1198.800048828125
2007-12-12,1187.52001953125
2007-12-13,1168.800048828125
2007-12-14,1202.8800048828125
2007-12-17,1221.1199951171875
2007-12-18,1205.52001953125
2007-12-19,1209.5999755859375
2007-12-20,1202.1600341796875
2007-12-21,1181.0400390625
2007-12-24,1180.800048828125
2007-12-26,1196.8800048828125
2007-12-27,1204.56005859375
2007-12-28,1198.3199462890625
2007-12-31,1216.56005859375
2008-01-02,1249.9200439453125
2008-01-03,1241.52001953125
2008-01-04,1243.199951171875
2008-01-07,1199.0400390625
2008-01-08,1205.280029296875
2008-01-09,1182.0
2008-01-10,1184.8800048828125
2008-01-11,1202.6400146484375
2008-01-14,1198.56005859375
2008-01-15,1223.280029296875
2008-01-16,1259.0400390625
2008-01-17,1362.9599609375
2008-01-18,1389.8399658203125
2008-01-22,1480.800048828125
2008-01-23,1392.719970703125
2008-01-24,1458.719970703125
2008-01-25,1503.1199951171875
2008-01-28,1464.9599609375
2008-01-29,1449.1199951171875
2008-01-30,1455.1199951171875
