,UTG
2004-02-25,20.010000228881836
2004-02-26,20.010000228881836
2004-02-27,20.0
2004-03-01,20.010000228881836
2004-03-02,20.0
2004-03-03,20.010000228881836
2004-03-04,20.200000762939453
2004-03-05,20.100000381469727
2004-03-08,20.299999237060547
2004-03-09,20.399999618530273
2004-03-10,20.299999237060547
2004-03-11,20.299999237060547
2004-03-12,20.25
2004-03-15,20.420000076293945
2004-03-16,20.350000381469727
2004-03-17,20.43000030517578
2004-03-18,20.290000915527344
2004-03-19,20.200000762939453
2004-03-22,20.229999542236328
2004-03-23,20.149999618530273
2004-03-24,20.100000381469727
2004-03-25,20.010000228881836
2004-03-26,20.049999237060547
2004-03-29,20.020000457763672
2004-03-30,20.030000686645508
2004-03-31,20.040000915527344
2004-04-01,20.049999237060547
2004-04-02,20.059999465942383
2004-04-05,20.010000228881836
2004-04-06,19.959999084472656
2004-04-07,19.950000762939453
2004-04-08,19.899999618530273
2004-04-12,19.799999237060547
2004-04-13,19.18000030517578
2004-04-14,18.450000762939453
2004-04-15,18.549999237060547
2004-04-16,18.850000381469727
2004-04-19,18.799999237060547
2004-04-20,18.700000762939453
2004-04-21,18.25
2004-04-22,17.950000762939453
2004-04-23,17.90999984741211
2004-04-26,17.549999237060547
2004-04-27,17.799999237060547
2004-04-28,17.6200008392334
2004-04-29,17.75
2004-04-30,17.649999618530273
2004-05-03,18.0
2004-05-04,18.170000076293945
2004-05-05,18.100000381469727
2004-05-06,18.200000762939453
2004-05-07,17.549999237060547
2004-05-10,16.649999618530273
2004-05-11,16.700000762939453
2004-05-12,16.299999237060547
2004-05-13,16.149999618530273
2004-05-14,16.450000762939453
2004-05-17,16.200000762939453
2004-05-18,16.65999984741211
2004-05-19,16.809999465942383
2004-05-20,16.700000762939453
2004-05-21,16.899999618530273
2004-05-24,16.25
2004-05-25,16.399999618530273
2004-05-26,16.520000457763672
2004-05-27,16.670000076293945
2004-05-28,17.1299991607666
2004-06-01,17.149999618530273
2004-06-02,17.200000762939453
2004-06-03,17.5
2004-06-04,17.440000534057617
2004-06-07,17.649999618530273
2004-06-08,17.5
2004-06-09,17.299999237060547
2004-06-10,17.049999237060547
2004-06-14,16.850000381469727
2004-06-15,17.030000686645508
2004-06-16,16.920000076293945
2004-06-17,16.920000076293945
2004-06-18,16.700000762939453
2004-06-21,16.5
2004-06-22,16.1200008392334
2004-06-23,16.229999542236328
2004-06-24,16.049999237060547
2004-06-25,16.1299991607666
2004-06-28,16.049999237060547
2004-06-29,16.110000610351562
2004-06-30,16.100000381469727
2004-07-01,16.43000030517578
2004-07-02,16.729999542236328
2004-07-06,16.989999771118164
2004-07-07,16.920000076293945
2004-07-08,17.0
2004-07-09,16.850000381469727
2004-07-12,16.520000457763672
2004-07-13,16.389999389648438
2004-07-14,16.299999237060547
2004-07-15,16.34000015258789
2004-07-16,16.229999542236328
2004-07-19,16.299999237060547
2004-07-20,16.75
2004-07-21,16.549999237060547
2004-07-22,16.6299991607666
2004-07-23,16.540000915527344
2004-07-26,16.25
2004-07-27,16.049999237060547
2004-07-28,16.25
2004-07-29,16.5
2004-07-30,16.56999969482422
2004-08-02,16.780000686645508
2004-08-03,16.979999542236328
2004-08-04,17.139999389648438
2004-08-05,17.239999771118164
2004-08-06,17.25
2004-08-09,17.100000381469727
2004-08-10,17.239999771118164
2004-08-11,17.40999984741211
2004-08-12,17.329999923706055
2004-08-13,17.450000762939453
2004-08-16,17.600000381469727
2004-08-17,17.5
2004-08-18,17.75
2004-08-19,17.68000030517578
2004-08-20,17.600000381469727
2004-08-23,17.149999618530273
2004-08-24,17.09000015258789
2004-08-25,17.420000076293945
2004-08-26,17.700000762939453
2004-08-27,17.350000381469727
2004-08-30,17.459999084472656
2004-08-31,17.5
2004-09-01,17.950000762939453
2004-09-02,18.3799991607666
2004-09-03,18.350000381469727
2004-09-07,18.15999984741211
2004-09-08,18.299999237060547
2004-09-09,18.43000030517578
2004-09-10,18.739999771118164
2004-09-13,18.399999618530273
2004-09-14,18.649999618530273
2004-09-15,18.399999618530273
2004-09-16,18.40999984741211
2004-09-17,18.299999237060547
2004-09-20,18.100000381469727
2004-09-21,17.969999313354492
2004-09-22,17.899999618530273
2004-09-23,18.149999618530273
2004-09-24,18.329999923706055
2004-09-27,17.899999618530273
2004-09-28,18.079999923706055
2004-09-29,17.950000762939453
2004-09-30,18.0
2004-10-01,18.18000030517578
2004-10-04,18.290000915527344
2004-10-05,18.25
2004-10-06,18.489999771118164
2004-10-07,18.510000228881836
2004-10-08,18.520000457763672
2004-10-11,18.5
2004-10-12,18.34000015258789
2004-10-13,18.059999465942383
2004-10-14,18.079999923706055
2004-10-15,18.079999923706055
2004-10-18,18.149999618530273
2004-10-19,17.959999084472656
2004-10-20,17.719999313354492
2004-10-21,17.75
2004-10-22,17.959999084472656
2004-10-25,17.93000030517578
2004-10-26,17.75
2004-10-27,17.959999084472656
2004-10-28,18.0
2004-10-29,18.0
2004-11-01,18.469999313354492
2004-11-02,18.489999771118164
2004-11-03,18.350000381469727
2004-11-04,18.600000381469727
2004-11-05,18.600000381469727
2004-11-08,18.600000381469727
2004-11-09,18.75
